name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Central Córdoba SdE vs Defensa y Justicia,2026-09-18 21:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Central Cordoba SdE,Defensa y Justicia,2.0,2.0,15,3,8.0,1.0,5.0,6.0,17.0,17.0,124.0,102.0,86.0,56.0,45.0,55.0,1.0,0.0,9.0,9.0,8.0,8.0,2.0,3.0,8.0,6.0,5.0,10.0,4.0,19.0,4.0,4.0,2.0,4.0,2.89,3.16,2.7,,,1.84,2.02,,,,,2.9,3.0,2.7,1.75,2.0,1.8,2.0,,,,,0.35,0.32,0.37,,,0.54,0.5,,,,,0.34,0.33,0.37,0.57,0.5,0.56,0.5,,,,,2026
Racing Club vs Sarmiento,2026-09-19 00:15:00,Racing Club won after full-time.,Argentina Liga Profissional de Futebol,Racing Club,Sarmiento,3.0,1.0,15,2,7.0,2.0,5.0,6.0,16.0,9.0,108.0,62.0,60.0,19.0,62.0,38.0,,,10.0,2.0,6.0,7.0,2.0,2.0,9.0,11.0,10.0,6.0,7.0,13.0,0.0,3.0,1.0,4.0,1.81,3.59,4.86,,,,,2.01,1.85,,,1.85,3.4,4.5,1.8,1.95,,,,,,,0.55,0.28,0.21,,,,,0.5,0.54,,,0.54,0.29,0.22,0.56,0.51,,,,,,,2026
Gimnasia La Plata vs Banfield,2026-09-19 17:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Gimnasia La Plata,Banfield,2.0,2.0,3,13,5.0,2.0,11.0,4.0,23.0,11.0,130.0,87.0,41.0,39.0,55.0,45.0,1.0,0.0,15.0,5.0,8.0,6.0,1.0,3.0,10.0,15.0,16.0,9.0,9.0,16.0,3.0,5.0,0.0,2.0,1.67,3.92,5.48,,,1.81,2.05,1.9,1.98,1.96,1.84,1.66,3.6,5.75,1.75,2.0,,,,,,,0.6,0.26,0.18,,,0.55,0.49,0.53,0.51,0.51,0.54,0.6,0.28,0.17,0.57,0.5,,,,,,,2026
Gimnasia y Esgrima Mendoza vs Deportivo Riestra,2026-09-19 17:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Gimnasia y Esgrima Mendoza,Deportivo Riestra,,,4,12,4.0,2.0,9.0,3.0,16.0,9.0,114.0,100.0,56.0,31.0,72.0,28.0,,,9.0,6.0,7.0,3.0,0.0,5.0,9.0,14.0,10.0,5.0,10.0,10.0,2.0,3.0,3.0,2.0,2.46,2.91,3.54,,,,,,,,,2.35,2.8,3.7,1.53,2.37,,,,,,,0.41,0.34,0.28,,,,,,,,,0.43,0.36,0.27,0.65,0.42,,,,,,,2026
Unión Santa Fe vs Independiente,2026-09-19 19:45:00,Independiente won after full-time.,Argentina Liga Profissional de Futebol,Unión Santa Fe,Independiente,1.0,2.0,8,6,6.0,1.0,10.0,2.0,21.0,8.0,95.0,65.0,56.0,25.0,55.0,45.0,,,14.0,4.0,7.0,4.0,3.0,1.0,6.0,13.0,7.0,4.0,11.0,12.0,2.0,3.0,2.0,4.0,2.52,3.1,3.19,,,1.8,2.11,2.12,1.79,,,2.55,2.9,3.1,1.7,2.05,1.77,2.02,,,,,0.4,0.32,0.31,,,0.56,0.47,0.47,0.56,,,0.39,0.34,0.32,0.59,0.49,0.56,0.5,,,,,2026
River Plate vs Huracán,2026-09-19 22:00:00,Huracán won after full-time.,Argentina Liga Profissional de Futebol,River Plate,Huracán,1.0,2.0,7,9,5.0,0.0,14.0,5.0,20.0,7.0,167.0,68.0,78.0,19.0,75.0,25.0,,,12.0,0.0,8.0,7.0,2.0,1.0,7.0,26.0,12.0,7.0,7.0,14.0,0.0,2.0,1.0,3.0,1.54,3.89,7.65,,,1.8,2.11,2.11,1.8,,,1.55,3.5,8.0,1.5,2.5,1.77,2.02,,,,,0.65,0.26,0.13,,,0.56,0.47,0.47,0.56,,,0.65,0.29,0.12,0.67,0.4,0.56,0.5,,,,,2026
Instituto vs Talleres Córdoba,2026-09-20 00:15:00,Instituto won after full-time.,Argentina Liga Profissional de Futebol,Instituto,Talleres Córdoba,3.0,1.0,1,14,4.0,2.0,6.0,5.0,17.0,6.0,86.0,87.0,34.0,21.0,43.0,57.0,,,12.0,3.0,5.0,3.0,0.0,1.0,11.0,9.0,13.0,7.0,12.0,14.0,0.0,4.0,4.0,3.0,1.97,3.19,4.67,,,2.08,1.82,,,,,2.0,3.0,4.33,1.57,2.25,2.02,1.77,,,,,0.51,0.31,0.21,,,0.48,0.55,,,,,0.5,0.33,0.23,0.64,0.44,0.5,0.56,,,,,2026
San Lorenzo vs Boca Juniors,2026-09-20 17:45:00,Boca Juniors won after full-time.,Argentina Liga Profissional de Futebol,San Lorenzo,Boca Juniors,0.0,2.0,10,6,2.0,8.0,2.0,6.0,4.0,16.0,74.0,138.0,19.0,58.0,25.0,75.0,,,2.0,11.0,2.0,5.0,1.0,3.0,8.0,3.0,3.0,13.0,15.0,13.0,5.0,1.0,2.0,3.0,5.21,3.16,1.89,,,2.13,1.78,,,,,5.25,3.0,1.85,1.53,2.37,2.0,1.8,,,,,0.19,0.32,0.53,,,0.47,0.56,,,,,0.19,0.33,0.54,0.65,0.42,0.5,0.56,,,,,2026
Rosario Central vs Argentinos Juniors,2026-09-20 20:00:00,Rosario Central won after full-time.,Argentina Liga Profissional de Futebol,Rosario Central,Argentinos Juniors,1.0,0.0,5,1,6.0,9.0,6.0,6.0,12.0,11.0,84.0,130.0,40.0,56.0,40.0,60.0,,,10.0,9.0,2.0,2.0,2.0,3.0,12.0,6.0,10.0,6.0,10.0,8.0,3.0,4.0,2.0,1.0,1.96,3.34,4.43,,,1.84,2.06,,,,,1.95,3.3,4.2,1.66,2.1,1.8,2.0,,,,,0.51,0.3,0.23,,,0.54,0.49,,,,,0.51,0.3,0.24,0.6,0.48,0.56,0.5,,,,,2026
Platense vs Newell's Old Boys,2026-09-20 20:00:00,Newell's Old Boys won after full-time.,Argentina Liga Profissional de Futebol,Platense,Newell's Old Boys,0.0,1.0,13,8,6.0,1.0,2.0,3.0,5.0,9.0,131.0,99.0,58.0,33.0,57.0,43.0,,,1.0,5.0,4.0,4.0,5.0,3.0,7.0,9.0,5.0,7.0,13.0,11.0,3.0,2.0,4.0,2.0,2.44,2.93,3.55,,,2.05,1.83,,,,,2.4,2.8,3.5,1.57,2.25,2.05,1.75,,,,,0.41,0.34,0.28,,,0.49,0.55,,,,,0.42,0.36,0.29,0.64,0.44,0.49,0.57,,,,,2026
