name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Atlético Mineiro vs Vitória,2026-08-29 21:30:00,Atlético Mineiro won after full-time.,Brasileirao Betano Serie A,Atlético Mineiro,Vitória,2.0,1.0,9,12,4,5,6,4,18,14,112,99,48,45,61,39,,,12.0,7.0,6.0,7.0,2.0,0.0,8.0,8.0,14.0,5.0,12.0,13.0,2.0,6.0,2.0,1.0,1.93,3.27,4.71,,,,,1.95,1.93,2.05,1.84,1.9,3.3,4.33,1.8,1.95,,,,,,,0.52,0.31,0.21,,,,,0.51,0.52,0.49,0.54,0.53,0.3,0.23,0.56,0.51,,,,,,,2026
São Paulo vs Bragantino,2026-08-29 23:00:00,São Paulo won after full-time.,Brasileirao Betano Serie A,São Paulo,Bragantino,2.0,1.0,13,7,9,7,4,3,17,8,98,115,34,46,38,62,1.0,0.0,10.0,2.0,7.0,6.0,1.0,2.0,7.0,8.0,11.0,5.0,11.0,14.0,2.0,6.0,3.0,4.0,2.57,3.1,3.11,,,,,2.01,1.87,,,2.5,3.25,2.9,1.9,1.9,,,,,,,0.39,0.32,0.32,,,,,0.5,0.53,,,0.4,0.31,0.34,0.53,0.53,,,,,,,2026
Vasco da Gama vs Cruzeiro,2026-08-30 00:20:00,Vasco da Gama won after full-time.,Brasileirao Betano Serie A,Vasco da Gama,Cruzeiro,3.0,1.0,19,5,11,3,7,1,22,11,105,104,63,39,45,55,,,18.0,4.0,4.0,7.0,1.0,0.0,7.0,10.0,14.0,7.0,15.0,12.0,5.0,7.0,2.0,1.0,1.99,3.48,4.12,,,,,1.82,2.07,2.05,1.81,1.95,3.5,3.9,1.9,1.9,,,,,2.05,1.8,0.5,0.29,0.24,,,,,0.55,0.48,0.49,0.55,0.51,0.29,0.26,0.53,0.53,,,,,0.49,0.56,2026
Athletico PR vs Fluminense,2026-08-30 14:00:00,Game ended in draw.,Brasileirao Betano Serie A,Athletico PR,Fluminense,3.0,3.0,3,4,8,3,3,3,17,12,113,82,59,16,47,53,1.0,0.0,13.0,7.0,4.0,5.0,4.0,0.0,6.0,6.0,10.0,8.0,15.0,12.0,3.0,5.0,2.0,2.0,2.44,3.07,3.36,,,,,2.1,1.8,,,2.37,3.1,3.25,1.8,1.95,1.85,2.0,,,,,0.41,0.33,0.3,,,,,0.48,0.56,,,0.42,0.32,0.31,0.56,0.51,0.54,0.5,,,,,2026
Flamengo vs Botafogo,2026-08-30 19:00:00,Flamengo won after full-time.,Brasileirao Betano Serie A,Flamengo,Botafogo,3.0,0.0,2,12,5,3,5,5,18,14,115,94,63,50,63,37,,,11.0,9.0,7.0,5.0,3.0,3.0,9.0,10.0,11.0,11.0,8.0,9.0,4.0,3.0,0.0,2.0,1.3,5.91,10.51,,,,,,,,,1.3,5.5,9.5,1.8,1.95,,,,,,,0.77,0.17,0.1,,,,,,,,,0.77,0.18,0.11,0.56,0.51,,,,,,,2026
Corinthians vs Santos,2026-08-30 19:00:00,Santos won after full-time.,Brasileirao Betano Serie A,Corinthians,Santos,0.0,1.0,10,14,8,1,9,2,18,8,170,66,78,17,62,38,,,9.0,3.0,9.0,5.0,3.0,5.0,2.0,16.0,11.0,4.0,9.0,16.0,3.0,2.0,4.0,3.0,1.92,3.32,4.71,,,,,2.07,1.82,,,1.9,3.3,4.5,1.75,2.0,,,,,,,0.52,0.3,0.21,,,,,0.48,0.55,,,0.53,0.3,0.22,0.57,0.5,,,,,,,2026
Grêmio vs Chapecoense,2026-08-30 21:30:00,Grêmio won after full-time.,Brasileirao Betano Serie A,Grêmio,Chapecoense,3.0,1.0,15,20,5,7,2,18,12,32,75,106,34,70,53,47,,,6.0,17.0,6.0,15.0,,,17.0,4.0,7.0,23.0,11.0,10.0,7.0,2.0,3.0,2.0,1.58,4.11,6.27,,,,,,,1.93,1.95,1.55,4.0,6.25,1.8,1.95,,,,,1.92,1.92,0.63,0.24,0.16,,,,,,,0.52,0.51,0.65,0.25,0.16,0.56,0.51,,,,,0.52,0.52,2026
Mirassol vs Palmeiras,2026-08-30 21:30:00,Game ended in draw.,Brasileirao Betano Serie A,Mirassol,Palmeiras,1.0,1.0,18,1,3,4,5,7,11,14,113,109,47,51,48,52,,,7.0,11.0,4.0,3.0,2.0,0.0,7.0,11.0,10.0,8.0,16.0,11.0,2.0,4.0,2.0,2.0,3.45,3.26,2.29,,,,,1.82,2.07,2.07,1.81,3.5,3.4,2.15,1.95,1.8,,,,,2.05,1.8,0.29,0.31,0.44,,,,,0.55,0.48,0.48,0.55,0.29,0.29,0.47,0.51,0.56,,,,,0.49,0.56,2026
Bahia vs Internacional,2026-08-30 22:30:00,Bahia won after full-time.,Brasileirao Betano Serie A,Bahia,Internacional,3.0,2.0,6,17,3,3,4,8,13,12,107,97,58,47,57,43,,,9.0,9.0,4.0,3.0,2.0,1.0,10.0,6.0,11.0,9.0,10.0,17.0,1.0,4.0,4.0,2.0,1.81,3.74,4.67,,,,,,,1.94,1.94,1.8,3.6,4.5,2.0,1.75,,,,,1.9,1.95,0.55,0.27,0.21,,,,,,,0.52,0.52,0.56,0.28,0.22,0.5,0.57,,,,,0.53,0.51,2026
Remo vs Coritiba,2026-08-31 23:00:00,Coritiba won after full-time.,Brasileirao Betano Serie A,Remo,Coritiba,2.0,3.0,19,9,9,4,17,4,32,11,110,56,58,23,61,39,1.0,0.0,20.0,7.0,12.0,4.0,3.0,2.0,2.0,17.0,23.0,9.0,11.0,10.0,3.0,5.0,3.0,1.0,2.09,3.26,4.0,,,,,2.07,1.82,2.04,1.81,2.1,3.3,3.75,1.75,2.0,,,,,,,0.48,0.31,0.25,,,,,0.48,0.55,0.49,0.55,0.48,0.3,0.27,0.57,0.5,,,,,,,2026
