name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Atlético Bucaramanga vs Independiente Medellín,2026-09-18 00:00:00,Game ended in draw.,Colombia Liga BetPlay,Atlético Bucaramanga,Independiente Medellín,2.0,2.0,6,5,1.0,8.0,2.0,9.0,8.0,17.0,54.0,114.0,17.0,51.0,31.0,69.0,0.0,1.0,3.0,11.0,5.0,6.0,1.0,2.0,10.0,4.0,5.0,10.0,13.0,16.0,3.0,1.0,2.0,3.0,2.33,3.26,3.2,,,,,1.88,1.92,,,2.3,3.25,3.1,1.83,1.83,,,,,,,0.43,0.31,0.31,,,,,0.53,0.52,,,0.43,0.31,0.32,0.55,0.55,,,,,,,2026
Rionegro Águilas vs Deportivo Pereira,2026-09-18 21:00:00,Game ended in draw.,Colombia Liga BetPlay,Rionegro Águilas,Deportivo Pereira,2.0,2.0,12,18,7.0,5.0,3.0,2.0,12.0,11.0,58.0,43.0,27.0,27.0,55.0,45.0,,,9.0,11.0,3.0,0.0,,,7.0,8.0,9.0,11.0,8.0,12.0,5.0,4.0,3.0,6.0,1.4,4.46,8.74,,,1.81,2.0,,,1.84,1.99,1.36,4.75,9.0,1.61,2.2,,,,,1.8,2.0,0.71,0.22,0.11,,,0.55,0.5,,,0.54,0.5,0.74,0.21,0.11,0.62,0.45,,,,,0.56,0.5,2026
Millonarios vs Boyacá Chicó,2026-09-19 19:00:00,Millonarios won after full-time.,Colombia Liga BetPlay,Millonarios,Boyacá Chicó,3.0,0.0,4,16,6.0,6.0,7.0,1.0,24.0,6.0,94.0,78.0,62.0,32.0,58.0,42.0,,,14.0,2.0,10.0,4.0,1.0,2.0,5.0,9.0,14.0,5.0,11.0,9.0,3.0,8.0,1.0,3.0,1.24,5.83,13.62,,,,,,,1.81,2.0,1.22,6.5,10.0,1.44,2.62,,,,,,,0.81,0.17,0.07,,,,,,,0.55,0.5,0.82,0.15,0.1,0.69,0.38,,,,,,,2026
Alianza Petrolera vs Santa Fe,2026-09-19 21:05:00,Santa Fe won after full-time.,Colombia Liga BetPlay,Alianza Petrolera,Santa Fe,1.0,4.0,15,7,6.0,6.0,11.0,2.0,16.0,9.0,142.0,145.0,99.0,78.0,50.0,50.0,0.0,1.0,10.0,4.0,6.0,5.0,0.0,1.0,6.0,11.0,10.0,9.0,4.0,7.0,3.0,1.0,3.0,2.0,2.94,3.0,2.67,,,,,2.07,1.78,,,2.87,3.0,2.6,1.83,1.83,1.77,2.02,,,,,0.34,0.33,0.37,,,,,0.48,0.56,,,0.35,0.33,0.38,0.55,0.55,0.56,0.5,,,,,2026
Deportivo Cali vs Cúcuta Deportivo,2026-09-19 23:10:00,Deportivo Cali won after full-time.,Colombia Liga BetPlay,Deportivo Cali,Cúcuta Deportivo,3.0,0.0,8,13,5.0,1.0,6.0,3.0,17.0,5.0,115.0,110.0,70.0,57.0,52.0,48.0,,,11.0,1.0,6.0,4.0,4.0,0.0,8.0,11.0,10.0,5.0,10.0,9.0,2.0,3.0,2.0,2.0,1.53,3.8,7.32,,,,,1.8,2.04,2.0,1.84,1.53,4.33,5.5,1.61,2.2,,,,,2.0,1.8,0.65,0.26,0.14,,,,,0.56,0.49,0.5,0.54,0.65,0.23,0.18,0.62,0.45,,,,,0.5,0.56,2026
Deportivo Pasto vs Once Caldas,2026-09-20 01:15:00,Deportivo Pasto won after full-time.,Colombia Liga BetPlay,Deportivo Pasto,Once Caldas,1.0,0.0,19,9,5.0,4.0,10.0,8.0,18.0,16.0,112.0,88.0,71.0,61.0,63.0,37.0,,,8.0,6.0,10.0,10.0,4.0,3.0,9.0,12.0,14.0,13.0,10.0,8.0,5.0,4.0,3.0,3.0,3.6,3.01,2.28,,,,,1.99,1.85,1.98,1.81,3.6,3.1,2.2,1.83,1.83,,,,,2.0,1.8,0.28,0.33,0.44,,,,,0.5,0.54,0.51,0.55,0.28,0.32,0.45,0.55,0.55,,,,,0.5,0.56,2026
Fortaleza CEIF vs Junior FC,2026-09-20 19:00:00,Junior FC won after full-time.,Colombia Liga BetPlay,Fortaleza CEIF,Junior FC,1.0,4.0,14,20,2.0,1.0,1.0,1.0,8.0,8.0,99.0,116.0,55.0,63.0,41.0,59.0,0.0,2.0,2.0,5.0,6.0,3.0,1.0,0.0,3.0,6.0,2.0,7.0,15.0,20.0,2.0,1.0,3.0,1.0,2.51,3.12,3.05,,,,,1.9,1.93,1.98,1.81,2.4,3.2,3.0,1.83,1.83,,,,,2.02,1.77,0.4,0.32,0.33,,,,,0.53,0.52,0.51,0.55,0.42,0.31,0.33,0.55,0.55,,,,,0.5,0.56,2026
Atlético Bucaramanga vs Internacional de Bogotá,2026-09-20 21:05:00,Atlético Bucaramanga won after full-time.,Colombia Liga BetPlay,Atlético Bucaramanga,Internacional de Bogotá,2.0,0.0,8,12,2.0,11.0,9.0,8.0,14.0,15.0,103.0,114.0,57.0,85.0,43.0,57.0,,,6.0,10.0,8.0,5.0,1.0,3.0,11.0,13.0,10.0,10.0,10.0,8.0,4.0,2.0,3.0,2.0,1.8,3.33,5.1,,,,,1.85,1.99,,,1.75,3.3,5.0,1.8,1.9,,,,,2.02,1.77,0.56,0.3,0.2,,,,,0.54,0.5,,,0.57,0.3,0.2,0.56,0.53,,,,,0.5,0.56,2026
Deportes Tolima vs América de Cali,2026-09-20 23:10:00,Game ended in draw.,Colombia Liga BetPlay,Deportes Tolima,América de Cali,1.0,1.0,6,1,9.0,2.0,15.0,4.0,28.0,5.0,191.0,96.0,142.0,42.0,67.0,33.0,1.0,0.0,14.0,3.0,14.0,2.0,3.0,3.0,3.0,15.0,17.0,4.0,10.0,4.0,0.0,7.0,1.0,4.0,2.62,2.97,3.04,,,1.77,2.09,2.01,1.83,,,2.4,3.2,3.0,1.83,1.83,1.75,2.05,,,,,0.38,0.34,0.33,,,0.56,0.48,0.5,0.55,,,0.42,0.31,0.33,0.55,0.55,0.57,0.49,,,,,2026
Llaneros vs Atlético Nacional,2026-09-21 01:15:00,Llaneros won after full-time.,Colombia Liga BetPlay,Llaneros,Atlético Nacional,2.0,0.0,11,3,4.0,9.0,1.0,6.0,8.0,20.0,65.0,117.0,27.0,90.0,21.0,79.0,,,6.0,12.0,2.0,8.0,2.0,4.0,9.0,3.0,6.0,9.0,15.0,12.0,5.0,3.0,5.0,2.0,4.25,3.78,1.82,,,,,,,1.91,1.91,4.2,3.7,1.8,1.83,1.83,,,,,1.85,1.95,0.24,0.26,0.55,,,,,,,0.52,0.52,0.24,0.27,0.56,0.55,0.55,,,,,0.54,0.51,2026
