name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Viborg FF vs Odense BK,2026-07-24 17:00:00,Viborg FF won after full-time.,Denmark Superliga,Viborg FF,Odense BK,1.0,0.0,10,7,7.0,10.0,6.0,10.0,10.0,19.0,77.0,110.0,34.0,56.0,43.0,57.0,,,8.0,13.0,2.0,6.0,1.0,1.0,12.0,7.0,9.0,10.0,15.0,11.0,4.0,2.0,2.0,1.0,1.75,4.08,4.45,,,,,,,,,1.7,4.2,4.2,2.5,1.5,,,,,,,0.57,0.25,0.22,,,,,,,,,0.59,0.24,0.24,0.4,0.67,,,,,,,2026-2027
AGF vs Brøndby IF,2026-07-25 16:00:00,Game ended in draw.,Denmark Superliga,AGF,Brøndby IF,1.0,1.0,10,4,10.0,6.0,7.0,7.0,13.0,13.0,93.0,63.0,61.0,45.0,54.0,46.0,1.0,0.0,8.0,9.0,5.0,4.0,1.0,1.0,10.0,12.0,8.0,6.0,12.0,23.0,1.0,2.0,1.0,5.0,2.1,3.7,3.41,,,,,,,,,2.0,3.9,3.3,2.25,1.57,,,,,,,0.48,0.27,0.29,,,,,,,,,0.5,0.26,0.3,0.44,0.64,,,,,,,2026-2027
Sønderjyske Fodbold vs FC Midtjylland,2026-07-26 12:00:00,FC Midtjylland won after full-time.,Denmark Superliga,Sønderjyske Fodbold,FC Midtjylland,2.0,3.0,4,5,5.0,4.0,7.0,3.0,17.0,12.0,94.0,125.0,46.0,47.0,42.0,58.0,,,14.0,5.0,3.0,7.0,2.0,1.0,7.0,11.0,14.0,8.0,14.0,10.0,2.0,1.0,1.0,2.0,5.68,4.59,1.54,,,,,,,,,5.25,4.33,1.53,2.25,1.57,,,,,,,0.18,0.22,0.65,,,,,,,,,0.19,0.23,0.65,0.44,0.64,,,,,,,2026-2027
FC København vs Lyngby Boldklub,2026-07-26 14:00:00,FC København won after full-time.,Denmark Superliga,FC København,Lyngby Boldklub,3.0,2.0,9,8,5.0,5.0,5.0,7.0,12.0,21.0,96.0,96.0,39.0,51.0,58.0,42.0,,,6.0,16.0,6.0,5.0,1.0,1.0,11.0,8.0,11.0,8.0,14.0,15.0,2.0,3.0,2.0,2.0,1.42,5.4,6.49,,,,,,,,,1.44,4.75,6.25,2.37,1.53,,,,,,,0.7,0.19,0.15,,,,,,,,,0.69,0.21,0.16,0.42,0.65,,,,,,,2026-2027
Horsens vs Nordsjælland,2026-07-26 16:00:00,Game ended in draw.,Denmark Superliga,Horsens,Nordsjælland,1.0,1.0,8,5,4.0,13.0,3.0,8.0,8.0,23.0,58.0,151.0,12.0,80.0,30.0,70.0,1.0,0.0,5.0,15.0,3.0,8.0,3.0,1.0,12.0,5.0,8.0,16.0,7.0,8.0,5.0,3.0,1.0,1.0,4.38,3.79,1.82,,,,,,,,,4.1,3.75,1.8,2.1,1.66,,,,,,,0.23,0.26,0.55,,,,,,,,,0.24,0.27,0.56,0.48,0.6,,,,,,,2026-2027
Randers FC vs Silkeborg IF,2026-07-27 17:00:00,Game ended in draw.,Denmark Superliga,Randers FC,Silkeborg IF,1.0,1.0,8,9,5.0,7.0,2.0,3.0,8.0,12.0,116.0,98.0,54.0,54.0,46.0,54.0,,,6.0,6.0,2.0,6.0,1.0,3.0,4.0,7.0,5.0,9.0,13.0,4.0,5.0,1.0,1.0,0.0,1.7,4.12,4.73,,,,,,,,,1.66,3.9,4.5,2.2,1.61,,,,,,,0.59,0.24,0.21,,,,,,,,,0.6,0.26,0.22,0.45,0.62,,,,,,,2026-2027
Lyngby Boldklub vs AGF,2026-08-01 16:00:00,Game ended in draw.,Denmark Superliga,Lyngby Boldklub,AGF,2.0,2.0,10,7,4.0,2.0,6.0,2.0,21.0,8.0,114.0,73.0,79.0,30.0,61.0,39.0,1.0,1.0,14.0,5.0,7.0,3.0,0.0,3.0,,,11.0,5.0,19.0,14.0,1.0,5.0,2.0,3.0,2.77,3.63,2.52,,,,,,,1.82,2.02,2.75,3.4,2.5,2.37,1.53,,,,,1.8,2.0,0.36,0.28,0.4,,,,,,,0.55,0.5,0.36,0.29,0.4,0.42,0.65,,,,,0.56,0.5,2026-2027
Nordsjælland vs Randers FC,2026-08-02 12:00:00,Nordsjælland won after full-time.,Denmark Superliga,Nordsjælland,Randers FC,1.0,0.0,8,7,11.0,4.0,7.0,5.0,18.0,11.0,161.0,70.0,97.0,34.0,67.0,33.0,,,15.0,4.0,3.0,7.0,2.0,2.0,7.0,13.0,13.0,9.0,10.0,7.0,4.0,4.0,2.0,2.0,1.58,4.6,5.37,,,,,,,,,1.57,4.1,5.25,2.2,1.61,,,,,,,0.63,0.22,0.19,,,,,,,,,0.64,0.24,0.19,0.45,0.62,,,,,,,2026-2027
FC Midtjylland vs Horsens,2026-08-02 12:00:00,FC Midtjylland won after full-time.,Denmark Superliga,FC Midtjylland,Horsens,2.0,1.0,1,9,7.0,3.0,8.0,2.0,19.0,4.0,142.0,70.0,65.0,16.0,59.0,41.0,,,9.0,2.0,10.0,2.0,1.0,3.0,3.0,14.0,15.0,4.0,11.0,21.0,1.0,5.0,2.0,3.0,1.29,6.04,10.17,,,,,,,,,1.3,5.25,9.0,1.95,1.8,,,,,,,0.78,0.17,0.1,,,,,,,,,0.77,0.19,0.11,0.51,0.56,,,,,,,2026-2027
Brøndby IF vs Viborg FF,2026-08-02 14:00:00,Brøndby IF won after full-time.,Denmark Superliga,Brøndby IF,Viborg FF,1.0,0.0,6,3,8.0,3.0,8.0,7.0,23.0,13.0,123.0,85.0,64.0,36.0,55.0,45.0,,,13.0,12.0,10.0,1.0,3.0,0.0,5.0,14.0,14.0,9.0,12.0,16.0,3.0,4.0,2.0,3.0,2.01,3.71,3.76,,,,,,,,,1.95,3.75,3.5,2.25,1.57,,,,,,,0.5,0.27,0.27,,,,,,,,,0.51,0.27,0.29,0.44,0.64,,,,,,,2026-2027
