name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
VfL Bochum 1848 vs Hertha BSC,2026-08-07 18:30:00,Hertha BSC won after full-time.,Germany Bundesliga 2,VfL Bochum 1848,Hertha BSC,0.0,1.0,5,13,5.0,2.0,5.0,6.0,13.0,11.0,81.0,68.0,31.0,18.0,56.0,44.0,,,9.0,8.0,4.0,3.0,2.0,2.0,10.0,5.0,8.0,6.0,18.0,13.0,1.0,3.0,2.0,5.0,2.23,3.52,3.21,,,,,,,,,2.2,3.5,3.1,2.25,1.57,,,,,,,0.45,0.28,0.31,,,,,,,,,0.45,0.29,0.32,0.44,0.64,,,,,,,2026-2027
Magdeburg vs Eintracht Braunschweig,2026-08-08 11:00:00,Eintracht Braunschweig won after full-time.,Germany Bundesliga 2,Magdeburg,Eintracht Braunschweig,1.0,6.0,18,1,5.0,5.0,6.0,7.0,10.0,24.0,70.0,130.0,26.0,47.0,47.0,53.0,0.0,1.0,7.0,16.0,3.0,8.0,0.0,1.0,12.0,8.0,8.0,21.0,14.0,9.0,7.0,3.0,4.0,1.0,1.77,3.76,4.65,,,,,,,,,1.75,3.8,4.33,2.2,1.61,,,,,,,0.56,0.27,0.22,,,,,,,,,0.57,0.26,0.23,0.45,0.62,,,,,,,2026-2027
Karlsruher SC vs DSC Arminia Bielefeld,2026-08-08 11:00:00,Karlsruher SC won after full-time.,Germany Bundesliga 2,Karlsruher SC,DSC Arminia Bielefeld,2.0,1.0,11,10,6.0,6.0,12.0,5.0,24.0,11.0,89.0,79.0,56.0,36.0,56.0,44.0,,,13.0,8.0,11.0,3.0,1.0,2.0,7.0,8.0,17.0,9.0,15.0,12.0,4.0,5.0,2.0,1.0,2.84,3.86,2.31,,,,,,,,,3.0,3.6,2.2,2.5,1.5,,,,,,,0.35,0.26,0.43,,,,,,,,,0.33,0.28,0.45,0.4,0.67,,,,,,,2026-2027
Darmstadt 98 vs Holstein Kiel,2026-08-08 11:00:00,Game ended in draw.,Germany Bundesliga 2,Darmstadt 98,Holstein Kiel,2.0,2.0,2,12,8.0,4.0,4.0,3.0,13.0,11.0,99.0,96.0,43.0,55.0,50.0,50.0,,,9.0,9.0,4.0,2.0,5.0,0.0,7.0,5.0,7.0,7.0,15.0,16.0,4.0,1.0,2.0,3.0,2.23,3.58,3.17,,,,,,,,,2.3,3.5,2.9,2.37,1.53,,,,,,,0.45,0.28,0.32,,,,,,,,,0.43,0.29,0.34,0.42,0.65,,,,,,,2026-2027
FC Heidenheim vs Osnabrück,2026-08-08 11:00:00,Heidenheim won after full-time.,Germany Bundesliga 2,FC Heidenheim,Osnabrück,4.0,3.0,8,9,4.0,6.0,10.0,8.0,20.0,26.0,112.0,88.0,51.0,39.0,54.0,46.0,0.0,1.0,12.0,14.0,8.0,12.0,9.0,0.0,11.0,13.0,15.0,11.0,6.0,6.0,3.0,2.0,1.0,2.0,1.69,3.88,5.06,,,,,,,,,1.65,3.9,5.0,2.1,1.66,,,,,,,0.59,0.26,0.2,,,,,,,,,0.61,0.26,0.2,0.48,0.6,,,,,,,2026-2027
VfL Wolfsburg vs Kaiserslautern,2026-08-08 18:30:00,Game ended in draw.,Germany Bundesliga 2,VfL Wolfsburg,Kaiserslautern,,,8,11,9.0,2.0,10.0,5.0,19.0,8.0,110.0,95.0,45.0,36.0,63.0,37.0,,,7.0,6.0,12.0,2.0,1.0,2.0,10.0,12.0,15.0,9.0,17.0,10.0,3.0,4.0,0.0,1.0,1.6,4.3,5.27,,,,,,,,,1.57,4.33,5.0,2.5,1.5,,,,,,,0.62,0.23,0.19,,,,,,,,,0.64,0.23,0.2,0.4,0.67,,,,,,,2026-2027
Energie Cottbus vs Hannover 96,2026-08-09 11:30:00,Energie Cottbus won after full-time.,Germany Bundesliga 2,Energie Cottbus,Hannover 96,3.0,1.0,13,12,2.0,6.0,4.0,8.0,12.0,27.0,91.0,83.0,19.0,62.0,45.0,55.0,1.0,0.0,7.0,18.0,5.0,9.0,0.0,2.0,9.0,6.0,7.0,17.0,11.0,11.0,8.0,1.0,0.0,2.0,3.1,3.88,2.16,,,,,,,,,3.1,3.5,2.15,2.5,1.5,,,,,,,0.32,0.26,0.46,,,,,,,,,0.32,0.29,0.47,0.4,0.67,,,,,,,2026-2027
Nürnberg vs Dynamo Dresden,2026-08-09 11:30:00,Nürnberg won after full-time.,Germany Bundesliga 2,Nürnberg,Dynamo Dresden,3.0,0.0,10,11,5.0,5.0,6.0,7.0,16.0,10.0,95.0,73.0,45.0,40.0,56.0,44.0,1.0,0.0,10.0,8.0,6.0,2.0,1.0,5.0,7.0,6.0,12.0,6.0,6.0,11.0,1.0,4.0,0.0,2.0,2.53,3.44,2.81,,,,,,,1.85,2.01,2.6,3.2,2.7,2.25,1.57,,,,,1.82,1.97,0.4,0.29,0.36,,,,,,,0.54,0.5,0.38,0.31,0.37,0.44,0.64,,,,,0.55,0.51,2026-2027
St. Pauli vs SpVgg Greuther Fürth,2026-08-09 11:30:00,Game ended in draw.,Germany Bundesliga 2,St. Pauli,SpVgg Greuther Fürth,1.0,1.0,9,14,9.0,2.0,4.0,5.0,18.0,15.0,108.0,74.0,83.0,28.0,58.0,42.0,,,11.0,8.0,7.0,7.0,7.0,2.0,6.0,9.0,9.0,13.0,4.0,5.0,6.0,5.0,1.0,0.0,1.67,4.09,4.98,,,,,,,,,1.61,4.0,4.75,2.2,1.61,,,,,,,0.6,0.24,0.2,,,,,,,,,0.62,0.25,0.21,0.45,0.62,,,,,,,2026-2027
Eintracht Braunschweig vs VfL Bochum 1848,2026-08-14 16:30:00,VfL Bochum 1848 won after full-time.,Germany Bundesliga 2,Eintracht Braunschweig,VfL Bochum 1848,0.0,1.0,1,15,5.0,6.0,8.0,6.0,17.0,13.0,131.0,88.0,48.0,37.0,55.0,45.0,,,11.0,9.0,6.0,4.0,3.0,0.0,7.0,10.0,10.0,9.0,11.0,13.0,3.0,3.0,2.0,3.0,2.55,3.56,2.77,,,,,,,1.91,1.95,2.55,3.6,2.55,2.37,1.53,,,,,1.8,2.0,0.39,0.28,0.36,,,,,,,0.52,0.51,0.39,0.28,0.39,0.42,0.65,,,,,0.56,0.5,2026-2027
