name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Monza vs Sassuolo,2026-09-18 18:45:00,Monza won after full-time.,Italy Serie A,Monza,Sassuolo,2.0,1.0,18,9,7.0,5.0,6.0,7.0,15.0,20.0,85.0,115.0,32.0,61.0,35.0,65.0,1.0,0.0,8.0,13.0,7.0,7.0,0.0,1.0,11.0,6.0,11.0,14.0,13.0,6.0,7.0,4.0,4.0,1.0,2.97,3.35,2.55,,,2.0,1.88,,,1.84,2.05,2.7,3.3,2.6,2.25,1.57,,,,,1.82,2.02,0.34,0.3,0.39,,,0.5,0.53,,,0.54,0.49,0.37,0.3,0.38,0.44,0.64,,,,,0.55,0.5,2026-2027
Udinese vs Cagliari,2026-09-19 13:00:00,Cagliari won after full-time.,Italy Serie A,Udinese,Cagliari,0.0,1.0,13,5,16.0,1.0,14.0,2.0,26.0,5.0,84.0,32.0,40.0,5.0,65.0,35.0,,,17.0,3.0,9.0,2.0,2.0,4.0,4.0,14.0,14.0,2.0,10.0,8.0,1.0,6.0,2.0,0.0,2.3,3.08,3.71,,,,,1.95,1.95,2.08,1.81,2.25,3.3,3.25,1.95,1.8,,,,,,,0.43,0.32,0.27,,,,,0.51,0.51,0.48,0.55,0.44,0.3,0.31,0.51,0.56,,,,,,,2026-2027
Bologna vs Torino,2026-09-19 13:00:00,Game ended in draw.,Italy Serie A,Bologna,Torino,1.0,1.0,17,15,1.0,6.0,7.0,8.0,11.0,14.0,44.0,53.0,11.0,28.0,40.0,60.0,,,8.0,6.0,3.0,8.0,2.0,0.0,10.0,10.0,7.0,9.0,18.0,12.0,2.0,0.0,0.0,3.0,2.01,3.24,4.51,,,,,1.99,1.91,2.09,1.81,1.9,3.4,4.1,1.8,1.95,,,,,2.05,1.8,0.5,0.31,0.22,,,,,0.5,0.52,0.48,0.55,0.53,0.29,0.24,0.56,0.51,,,,,0.49,0.56,2026-2027
Roma vs Inter,2026-09-19 16:00:00,Game ended in draw.,Italy Serie A,Roma,Inter,2.0,2.0,1,2,4.0,2.0,7.0,8.0,18.0,16.0,123.0,98.0,62.0,56.0,49.0,51.0,,,12.0,11.0,6.0,5.0,3.0,3.0,9.0,11.0,10.0,12.0,13.0,7.0,3.0,2.0,3.0,3.0,2.81,3.42,2.64,,,,,,,,,2.7,3.4,2.55,2.5,1.5,,,,,1.95,1.9,0.36,0.29,0.38,,,,,,,,,0.37,0.29,0.39,0.4,0.67,,,,,0.51,0.53,2026-2027
Venezia vs Lazio,2026-09-19 18:45:00,Lazio won after full-time.,Italy Serie A,Venezia,Lazio,0.0,2.0,20,5,7.0,2.0,6.0,7.0,17.0,12.0,82.0,110.0,54.0,39.0,49.0,51.0,1.0,1.0,10.0,5.0,7.0,7.0,2.0,0.0,8.0,10.0,13.0,8.0,14.0,8.0,0.0,7.0,6.0,0.0,4.01,3.59,2.0,,,,,2.05,1.83,1.87,2.02,3.7,3.6,2.0,2.2,1.61,,,,,1.87,1.97,0.25,0.28,0.5,,,,,0.49,0.55,0.53,0.5,0.27,0.28,0.5,0.45,0.62,,,,,0.53,0.51,2026-2027
Fiorentina vs Napoli,2026-09-20 10:30:00,Game ended in draw.,Italy Serie A,Fiorentina,Napoli,1.0,1.0,16,10,4.0,5.0,10.0,7.0,17.0,13.0,111.0,101.0,53.0,58.0,42.0,58.0,,,10.0,11.0,7.0,2.0,0.0,1.0,5.0,11.0,12.0,11.0,11.0,9.0,4.0,3.0,3.0,0.0,3.29,3.32,2.37,,,,,,,1.98,1.9,3.2,3.3,2.3,2.1,1.66,,,,,1.97,1.87,0.3,0.3,0.42,,,,,,,0.51,0.53,0.31,0.3,0.43,0.48,0.6,,,,,0.51,0.53,2026-2027
Parma vs Genoa,2026-09-20 13:00:00,Parma won after full-time.,Italy Serie A,Parma,Genoa,2.0,1.0,18,19,2.0,5.0,2.0,3.0,5.0,12.0,72.0,110.0,23.0,44.0,43.0,57.0,,,3.0,7.0,2.0,5.0,3.0,1.0,10.0,3.0,4.0,5.0,17.0,14.0,4.0,0.0,3.0,3.0,3.48,2.98,2.47,,,1.98,1.92,,,,,3.3,2.9,2.4,1.7,2.05,1.95,1.9,,,,,0.29,0.34,0.4,,,0.51,0.52,,,,,0.3,0.34,0.42,0.59,0.49,0.51,0.53,,,,,2026-2027
Frosinone vs Como,2026-09-20 13:00:00,Frosinone won after full-time.,Italy Serie A,Frosinone,Como,2.0,0.0,7,5,7.0,8.0,14.0,11.0,22.0,27.0,66.0,109.0,40.0,65.0,35.0,65.0,,,15.0,16.0,7.0,11.0,2.0,2.0,15.0,14.0,17.0,17.0,21.0,8.0,7.0,4.0,3.0,2.0,6.35,4.93,1.48,,,,,,,,,6.25,5.0,1.44,2.37,1.53,,,,,,,0.16,0.2,0.68,,,,,,,,,0.16,0.2,0.69,0.42,0.65,,,,,,,2026-2027
Juventus vs Atalanta,2026-09-20 16:00:00,Juventus won after full-time.,Italy Serie A,Juventus,Atalanta,2.0,0.0,8,11,4.0,5.0,4.0,6.0,14.0,11.0,84.0,103.0,54.0,49.0,52.0,48.0,,,10.0,7.0,4.0,4.0,4.0,0.0,11.0,9.0,10.0,7.0,10.0,10.0,1.0,3.0,1.0,2.0,1.65,3.96,5.66,,,,,,,1.84,2.07,1.61,4.0,5.25,1.9,1.9,,,,,1.82,2.02,0.61,0.25,0.18,,,,,,,0.54,0.48,0.62,0.25,0.19,0.53,0.53,,,,,0.55,0.5,2026-2027
AC Milan vs Lecce,2026-09-20 18:45:00,AC Milan won after full-time.,Italy Serie A,AC Milan,Lecce,3.0,0.0,7,12,2.0,3.0,2.0,1.0,10.0,6.0,97.0,96.0,36.0,30.0,69.0,31.0,,,8.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,6.0,5.0,9.0,15.0,3.0,1.0,0.0,1.0,1.24,6.5,14.75,,,,,,,1.81,2.03,1.22,6.0,13.0,1.7,2.05,,,,,1.82,2.02,0.81,0.15,0.07,,,,,,,0.55,0.49,0.82,0.17,0.08,0.59,0.49,,,,,0.55,0.5,2026-2027
