name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Ulsan HD vs Gangwon,2026-02-28 05:00:00,Ulsan HD won after full-time.,K League 1,Ulsan HD,Gangwon,3.0,1.0,7,9,2.0,2.0,3.0,8.0,11.0,13.0,81.0,152.0,49.0,99.0,34.0,66.0,,,6.0,5.0,5.0,8.0,,,9.0,2.0,7.0,10.0,10.0,15.0,3.0,2.0,2.0,3.0,2.77,3.04,2.87,1.97,1.86,,,1.95,1.91,,,2.6,3.0,2.62,1.83,1.83,,,1.92,1.87,,,0.36,0.33,0.35,0.54,0.51,,,0.51,0.52,,,0.38,0.33,0.38,0.55,0.55,,,0.52,0.53,,,2026
Incheon United vs Seoul,2026-02-28 05:00:00,Seoul won after full-time.,K League 1,Incheon United,Seoul,1.0,2.0,9,1,6.0,3.0,6.0,2.0,8.0,12.0,99.0,84.0,51.0,40.0,55.0,45.0,1.0,0.0,5.0,6.0,3.0,6.0,1.0,0.0,4.0,9.0,7.0,9.0,14.0,18.0,5.0,1.0,0.0,5.0,2.86,3.06,2.76,1.92,1.92,,,1.99,1.87,,,2.7,3.0,2.7,1.83,1.83,,,1.95,1.85,,,0.35,0.33,0.36,0.52,0.52,,,0.5,0.53,,,0.37,0.33,0.37,0.55,0.55,,,0.51,0.54,,,2026
Gimcheon Sangmu vs Pohang Steelers,2026-02-28 07:30:00,Game ended in draw.,K League 1,Gimcheon Sangmu,Pohang Steelers,1.0,1.0,4,2,2.0,4.0,3.0,4.0,13.0,9.0,124.0,102.0,70.0,49.0,52.0,48.0,,,7.0,6.0,6.0,3.0,3.0,0.0,6.0,4.0,6.0,6.0,9.0,9.0,0.0,3.0,1.0,3.0,3.01,3.03,2.65,1.94,1.89,,,2.0,1.87,2.08,1.8,2.87,3.1,2.45,1.9,1.8,,,1.97,1.82,1.8,2.0,0.33,0.33,0.38,0.53,0.52,,,0.5,0.53,0.48,0.56,0.35,0.32,0.41,0.53,0.56,,,0.51,0.55,0.56,0.5,2026
Jeonbuk Motors vs Bucheon 1995,2026-03-01 05:00:00,Bucheon 1995 won after full-time.,K League 1,Jeonbuk Motors,Bucheon 1995,2.0,3.0,6,10,4.0,2.0,5.0,4.0,12.0,7.0,124.0,96.0,70.0,59.0,67.0,33.0,0.0,1.0,10.0,3.0,2.0,4.0,3.0,1.0,8.0,6.0,7.0,8.0,11.0,12.0,0.0,2.0,1.0,3.0,1.43,4.67,7.54,1.83,2.02,,,,,,,1.42,4.2,6.5,1.8,1.9,,,,,,,0.7,0.21,0.13,0.5,0.55,,,,,,,0.7,0.24,0.15,0.56,0.53,,,,,,,2026
Jeju United vs Gwangju,2026-03-01 07:30:00,Game ended in draw.,K League 1,Jeju United,Gwangju,,,9,7,3.0,3.0,4.0,6.0,6.0,10.0,80.0,107.0,44.0,49.0,34.0,66.0,,,2.0,7.0,4.0,3.0,3.0,1.0,12.0,6.0,6.0,7.0,11.0,14.0,2.0,2.0,2.0,4.0,2.36,3.1,3.42,1.72,2.16,,,1.87,1.96,,,2.25,2.9,3.2,1.83,1.83,,,1.9,1.9,,,0.42,0.32,0.29,0.46,0.58,,,0.53,0.51,,,0.44,0.34,0.31,0.55,0.55,,,0.53,0.53,,,2026
Daejeon Citizen vs Anyang,2026-03-02 05:00:00,Game ended in draw.,K League 1,Daejeon Citizen,Anyang,1.0,1.0,9,8,6.0,3.0,4.0,0.0,16.0,8.0,144.0,106.0,68.0,60.0,60.0,40.0,1.0,1.0,9.0,5.0,7.0,3.0,1.0,2.0,3.0,9.0,11.0,8.0,12.0,16.0,6.0,5.0,5.0,4.0,2.03,3.53,3.78,2.1,1.76,,,,,1.96,1.9,1.9,3.5,3.6,1.9,1.8,,,,,1.92,1.87,0.49,0.28,0.26,0.57,0.48,,,,,0.51,0.53,0.53,0.29,0.28,0.53,0.56,,,,,0.52,0.53,2026
Bucheon 1995 vs Daejeon Citizen,2026-03-07 07:30:00,Game ended in draw.,K League 1,Bucheon 1995,Daejeon Citizen,1.0,1.0,2,6,3.0,5.0,7.0,5.0,10.0,13.0,79.0,146.0,43.0,79.0,31.0,69.0,1.0,0.0,5.0,5.0,5.0,8.0,1.0,1.0,8.0,8.0,9.0,8.0,8.0,7.0,1.0,1.0,,,3.84,3.41,2.08,2.07,1.8,,,,,2.0,1.88,3.6,3.2,1.95,2.1,1.66,,,,,1.97,1.82,0.26,0.29,0.48,0.56,0.48,,,,,0.5,0.53,0.28,0.31,0.51,0.48,0.6,,,,,0.51,0.55,2026
Gwangju vs Incheon United,2026-03-07 07:30:00,Gwangju won after full-time.,K League 1,Gwangju,Incheon United,3.0,2.0,9,11,1.0,3.0,0.0,9.0,6.0,20.0,106.0,124.0,39.0,93.0,37.0,63.0,1.0,1.0,5.0,14.0,1.0,6.0,3.0,3.0,7.0,0.0,5.0,12.0,14.0,17.0,4.0,2.0,1.0,4.0,3.79,2.85,2.39,1.7,2.21,2.09,1.81,,,,,2.7,2.87,2.7,1.72,2.0,2.02,1.77,,,,,0.26,0.35,0.42,0.45,0.59,0.48,0.55,,,,,0.37,0.35,0.37,0.58,0.5,0.5,0.56,,,,,2026
Gimcheon Sangmu vs Jeonbuk Motors,2026-03-08 05:00:00,Game ended in draw.,K League 1,Gimcheon Sangmu,Jeonbuk Motors,1.0,1.0,7,10,2.0,2.0,3.0,2.0,8.0,5.0,115.0,114.0,47.0,51.0,51.0,49.0,,,7.0,3.0,1.0,2.0,0.0,1.0,5.0,5.0,6.0,6.0,8.0,13.0,2.0,2.0,1.0,2.0,3.48,3.22,2.3,2.11,1.77,,,,,2.05,1.84,3.1,3.2,2.2,2.1,1.66,,,,,2.02,1.77,0.29,0.31,0.43,0.56,0.47,,,,,0.49,0.54,0.32,0.31,0.45,0.48,0.6,,,,,0.5,0.56,2026
Anyang vs Jeju United,2026-03-08 07:30:00,Anyang won after full-time.,K League 1,Anyang,Jeju United,2.0,1.0,8,9,5.0,4.0,2.0,3.0,12.0,5.0,91.0,106.0,52.0,40.0,49.0,51.0,1.0,1.0,11.0,4.0,1.0,1.0,6.0,4.0,2.0,4.0,8.0,5.0,11.0,14.0,1.0,3.0,4.0,1.0,2.26,3.14,3.66,1.88,1.96,,,2.11,1.8,2.01,1.87,2.2,3.0,3.3,2.0,1.72,,,,,1.75,2.05,0.44,0.32,0.27,0.51,0.53,,,0.47,0.56,0.5,0.53,0.45,0.33,0.3,0.5,0.58,,,,,0.57,0.49,2026
Gwangju vs Jeonbuk Motors,2026-03-14 05:00:00,Game ended in draw.,K League 1,Gwangju,Jeonbuk Motors,,,2,9,2.0,6.0,3.0,9.0,6.0,17.0,110.0,101.0,51.0,81.0,42.0,58.0,,,2.0,13.0,4.0,4.0,2.0,0.0,13.0,5.0,2.0,12.0,20.0,15.0,5.0,2.0,3.0,3.0,4.5,3.37,1.93,1.78,2.1,,,2.08,1.82,,,4.2,3.2,1.85,1.8,1.9,,,2.02,1.77,,,0.22,0.3,0.52,0.48,0.56,,,0.48,0.55,,,0.24,0.31,0.54,0.56,0.53,,,0.5,0.56,,,2026
Daejeon Citizen vs Gimcheon Sangmu,2026-03-14 07:30:00,Game ended in draw.,K League 1,Daejeon Citizen,Gimcheon Sangmu,1.0,1.0,7,6,6.0,5.0,6.0,3.0,15.0,10.0,148.0,93.0,72.0,45.0,56.0,44.0,,,11.0,7.0,4.0,3.0,2.0,2.0,5.0,9.0,7.0,6.0,9.0,14.0,2.0,2.0,1.0,2.0,2.24,3.45,3.37,2.13,1.76,,,,,1.96,1.91,2.1,3.25,3.1,2.0,1.72,,,,,1.95,1.85,0.45,0.29,0.3,0.57,0.47,,,,,0.51,0.52,0.48,0.31,0.32,0.5,0.58,,,,,0.51,0.54,2026
Jeju United vs Seoul,2026-03-15 05:00:00,Seoul won after full-time.,K League 1,Jeju United,Seoul,1.0,2.0,7,1,2.0,8.0,7.0,6.0,10.0,19.0,65.0,75.0,48.0,66.0,38.0,62.0,,,7.0,15.0,3.0,4.0,1.0,0.0,8.0,7.0,8.0,9.0,19.0,13.0,3.0,1.0,1.0,5.0,3.79,3.36,2.12,1.94,1.9,,,1.9,1.98,,,3.4,3.1,2.1,1.83,1.83,,,1.87,1.92,,,0.26,0.3,0.47,0.53,0.52,,,0.53,0.51,,,0.29,0.32,0.48,0.55,0.55,,,0.53,0.52,,,2026
Bucheon 1995 vs Ulsan HD,2026-03-15 05:00:00,Ulsan HD won after full-time.,K League 1,Bucheon 1995,Ulsan HD,1.0,2.0,2,4,5.0,4.0,6.0,9.0,11.0,18.0,147.0,113.0,71.0,73.0,46.0,54.0,0.0,1.0,5.0,11.0,6.0,7.0,2.0,0.0,8.0,10.0,9.0,14.0,15.0,13.0,5.0,1.0,2.0,1.0,3.67,3.46,2.11,1.94,1.91,,,1.85,2.05,,,3.5,3.25,2.05,1.8,1.9,,,1.82,1.97,,,0.27,0.29,0.47,0.52,0.52,,,0.54,0.49,,,0.29,0.31,0.49,0.56,0.53,,,0.55,0.51,,,2026
