name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Necaxa vs Atlante,2026-07-17 01:00:00,Necaxa won after full-time.,Mexico Liga MX,Necaxa,Atlante,2.0,1.0,12,14,11.0,5.0,5.0,6.0,11.0,12.0,97.0,72.0,33.0,31.0,64.0,36.0,1.0,0.0,10.0,7.0,1.0,5.0,1.0,1.0,7.0,11.0,7.0,9.0,11.0,16.0,2.0,3.0,1.0,2.0,1.94,3.78,3.83,,,,,,,,,1.9,3.5,4.0,2.2,1.61,,,,,,,0.52,0.26,0.26,,,,,,,,,0.53,0.29,0.25,0.45,0.62,,,,,,,2026-2027
Tijuana vs Tigres UANL,2026-07-17 03:10:00,Tijuana won after full-time.,Mexico Liga MX,Tijuana,Tigres UANL,3.0,1.0,17,3,1.0,4.0,5.0,3.0,14.0,8.0,92.0,95.0,34.0,37.0,51.0,49.0,1.0,0.0,9.0,4.0,5.0,4.0,4.0,0.0,5.0,7.0,12.0,6.0,11.0,17.0,3.0,4.0,2.0,4.0,3.66,3.44,2.1,,,,,,,1.98,1.89,3.6,3.3,2.1,2.1,1.66,,,,,1.85,1.95,0.27,0.29,0.48,,,,,,,0.51,0.53,0.28,0.3,0.48,0.48,0.6,,,,,0.54,0.51,2026-2027
León vs Atlas,2026-07-18 01:00:00,Atlas won after full-time.,Mexico Liga MX,León,Atlas,2.0,3.0,14,3,6.0,2.0,6.0,1.0,16.0,9.0,98.0,87.0,42.0,31.0,46.0,54.0,0.0,1.0,7.0,5.0,9.0,4.0,0.0,4.0,3.0,10.0,14.0,8.0,15.0,10.0,4.0,6.0,2.0,2.0,2.21,3.56,3.27,,,,,,,1.97,1.9,2.2,3.3,3.25,2.1,1.66,,,,,1.82,1.97,0.45,0.28,0.31,,,,,,,0.51,0.53,0.45,0.3,0.31,0.48,0.6,,,,,0.55,0.51,2026-2027
Atlético San Luis vs Cruz Azul,2026-07-18 01:00:00,Cruz Azul won after full-time.,Mexico Liga MX,Atlético San Luis,Cruz Azul,2.0,3.0,12,5,4.0,4.0,5.0,7.0,13.0,20.0,59.0,116.0,37.0,64.0,46.0,54.0,0.0,1.0,8.0,13.0,5.0,7.0,3.0,1.0,10.0,7.0,6.0,13.0,9.0,10.0,6.0,4.0,2.0,1.0,5.14,3.96,1.68,,,,,,,1.83,2.05,5.0,3.9,1.7,2.05,1.7,,,,,,,0.19,0.25,0.6,,,,,,,0.55,0.49,0.2,0.26,0.59,0.49,0.59,,,,,,,2026-2027
Juárez vs Puebla,2026-07-18 03:00:00,Puebla won after full-time.,Mexico Liga MX,Juárez,Puebla,0.0,1.0,11,10,5.0,7.0,10.0,4.0,13.0,13.0,101.0,87.0,58.0,33.0,65.0,35.0,,,9.0,8.0,4.0,5.0,1.0,1.0,4.0,17.0,11.0,3.0,9.0,22.0,4.0,1.0,1.0,1.0,1.75,3.82,4.79,,,,,,,,,1.7,3.9,4.75,2.05,1.7,,,,,,,0.57,0.26,0.21,,,,,,,,,0.59,0.26,0.21,0.49,0.59,,,,,,,2026-2027
Pumas UNAM vs Pachuca,2026-07-18 23:00:00,Pachuca won after full-time.,Mexico Liga MX,Pumas UNAM,Pachuca,0.0,3.0,7,13,9.0,4.0,5.0,4.0,9.0,15.0,107.0,75.0,57.0,38.0,61.0,39.0,,,4.0,7.0,5.0,8.0,2.0,5.0,8.0,9.0,6.0,10.0,10.0,5.0,3.0,1.0,1.0,0.0,2.59,3.24,2.91,,,,,,,1.88,1.98,2.62,3.4,2.62,2.2,1.61,,,,,1.8,2.0,0.39,0.31,0.34,,,,,,,0.53,0.51,0.38,0.29,0.38,0.45,0.62,,,,,0.56,0.5,2026-2027
Monterrey vs Santos Laguna,2026-07-19 01:05:00,Monterrey won after full-time.,Mexico Liga MX,Monterrey,Santos Laguna,3.0,2.0,11,6,5.0,5.0,4.0,5.0,19.0,11.0,88.0,101.0,47.0,33.0,57.0,43.0,,,12.0,10.0,7.0,1.0,2.0,0.0,9.0,9.0,17.0,5.0,14.0,9.0,1.0,10.0,,,1.47,4.73,6.47,,,,,,,,,1.48,4.5,6.0,2.37,1.53,,,,,,,0.68,0.21,0.15,,,,,,,,,0.68,0.22,0.17,0.42,0.65,,,,,,,2026-2027
Guadalajara vs Toluca,2026-07-19 01:07:00,Toluca won after full-time.,Mexico Liga MX,Guadalajara,Toluca,0.0,2.0,8,10,9.0,2.0,6.0,4.0,13.0,14.0,97.0,96.0,39.0,37.0,40.0,60.0,0.0,1.0,10.0,10.0,3.0,4.0,1.0,2.0,4.0,10.0,9.0,10.0,14.0,13.0,7.0,4.0,2.0,2.0,1.99,3.59,3.85,,,,,,,,,1.9,3.7,3.8,2.25,1.57,,,,,,,0.5,0.28,0.26,,,,,,,,,0.53,0.27,0.26,0.44,0.64,,,,,,,2026-2027
Querétaro vs América,2026-07-19 03:10:00,América won after full-time.,Mexico Liga MX,Querétaro,América,0.0,1.0,11,8,2.0,12.0,7.0,4.0,10.0,17.0,80.0,88.0,39.0,45.0,38.0,62.0,0.0,1.0,7.0,11.0,3.0,6.0,5.0,0.0,7.0,13.0,3.0,5.0,14.0,14.0,4.0,2.0,6.0,4.0,3.52,3.54,2.11,,,,,,,1.84,2.04,3.4,3.5,2.1,2.05,1.7,,,,,1.82,1.97,0.28,0.28,0.47,,,,,,,0.54,0.49,0.29,0.29,0.48,0.49,0.59,,,,,0.55,0.51,2026-2027
Cruz Azul vs Puebla,2026-07-22 01:00:00,Cruz Azul won after full-time.,Mexico Liga MX,Cruz Azul,Puebla,2.0,1.0,5,8,7.0,3.0,9.0,1.0,22.0,10.0,123.0,70.0,52.0,27.0,67.0,33.0,,,10.0,4.0,12.0,6.0,0.0,2.0,6.0,9.0,14.0,7.0,11.0,7.0,3.0,5.0,2.0,3.0,1.34,5.76,8.58,,,,,,,,,1.33,5.5,7.5,1.9,1.9,,,,,,,0.75,0.17,0.12,,,,,,,,,0.75,0.18,0.13,0.53,0.53,,,,,,,2026-2027
