name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Al-Fayha vs Al Hilal,2026-08-20 18:00:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al-Fayha,Al Hilal,0.0,3.0,12,3,1.0,5.0,2.0,11.0,8.0,25.0,79.0,114.0,23.0,70.0,39.0,61.0,0.0,1.0,3.0,19.0,5.0,6.0,2.0,4.0,14.0,2.0,5.0,16.0,8.0,9.0,7.0,3.0,1.0,0.0,11.02,6.64,1.22,,,,,,,,,8.5,5.25,1.25,1.53,2.37,,,,,,,0.09,0.15,0.82,,,,,,,,,0.12,0.19,0.8,0.65,0.42,,,,,,,2026
Abha vs Al Hazm,2026-08-13 16:15:00,Al Hazm won after full-time.,Saudi Arabia Liga Profissional,Abha,Al Hazm,1.0,2.0,13,5,5.0,1.0,4.0,2.0,10.0,8.0,122.0,67.0,71.0,32.0,63.0,37.0,,,4.0,6.0,6.0,2.0,2.0,0.0,4.0,10.0,7.0,5.0,10.0,16.0,1.0,5.0,2.0,3.0,2.6,3.56,2.61,,,,,1.81,2.01,2.0,1.84,2.75,3.1,2.5,1.9,1.8,,,,,2.0,1.8,0.38,0.28,0.38,,,,,0.55,0.5,0.5,0.54,0.36,0.32,0.4,0.53,0.56,,,,,0.5,0.56,2026
Al Draih vs Al Ahli,2026-08-13 18:00:00,Al Ahli won after full-time.,Saudi Arabia Liga Profissional,Al Draih,Al Ahli,0.0,1.0,17,8,8.0,4.0,11.0,6.0,18.0,15.0,105.0,73.0,66.0,31.0,57.0,43.0,,,8.0,13.0,10.0,2.0,2.0,4.0,8.0,16.0,12.0,11.0,8.0,11.0,6.0,3.0,2.0,4.0,4.69,4.28,1.65,,,,,,,,,4.75,3.9,1.57,2.2,1.61,,,,,,,0.21,0.23,0.61,,,,,,,,,0.21,0.26,0.64,0.45,0.62,,,,,,,2026
Al Shabab vs Al-Qadsiah,2026-08-13 18:00:00,Al-Qadsiah won after full-time.,Saudi Arabia Liga Profissional,Al Shabab,Al-Qadsiah,1.0,3.0,12,11,6.0,9.0,4.0,7.0,8.0,15.0,77.0,119.0,31.0,77.0,45.0,55.0,,,8.0,12.0,0.0,3.0,3.0,1.0,13.0,7.0,1.0,11.0,13.0,13.0,3.0,2.0,2.0,1.0,5.19,4.84,1.52,,,,,,,,,5.0,4.2,1.5,2.37,1.53,,,,,,,0.19,0.21,0.66,,,,,,,,,0.2,0.24,0.67,0.42,0.65,,,,,,,2026
NEOM SC vs Al-Fayha,2026-08-14 16:50:00,NEOM SC won after full-time.,Saudi Arabia Liga Profissional,NEOM SC,Al-Fayha,2.0,1.0,13,12,3.0,4.0,5.0,6.0,15.0,13.0,81.0,77.0,59.0,72.0,53.0,47.0,,,10.0,9.0,5.0,4.0,0.0,1.0,7.0,7.0,8.0,11.0,5.0,11.0,5.0,2.0,0.0,1.0,1.69,3.83,4.98,,,,,,,1.88,1.95,1.66,3.6,4.5,1.9,1.8,,,,,1.85,1.95,0.59,0.26,0.2,,,,,,,0.53,0.51,0.6,0.28,0.22,0.53,0.56,,,,,0.54,0.51,2026
Al Hilal vs Al Faisaly,2026-08-14 18:00:00,Al Hilal won after full-time.,Saudi Arabia Liga Profissional,Al Hilal,Al Faisaly,4.0,2.0,6,5,7.0,1.0,9.0,2.0,16.0,8.0,78.0,93.0,78.0,62.0,50.0,50.0,2.0,0.0,16.0,6.0,0.0,2.0,0.0,1.0,4.0,12.0,12.0,7.0,18.0,15.0,3.0,1.0,0.0,1.0,1.14,8.99,14.56,,,,,,,,,1.14,7.0,17.0,1.8,1.9,,,,,,,0.88,0.11,0.07,,,,,,,,,0.88,0.14,0.06,0.56,0.53,,,,,,,2026
Al Ettifaq vs Al Riyadh,2026-08-14 18:00:00,Al Ettifaq won after full-time.,Saudi Arabia Liga Profissional,Al Ettifaq,Al Riyadh,4.0,2.0,7,15,8.0,0.0,4.0,3.0,21.0,7.0,89.0,66.0,75.0,19.0,66.0,34.0,2.0,0.0,11.0,3.0,10.0,4.0,1.0,1.0,4.0,7.0,12.0,5.0,11.0,8.0,2.0,8.0,2.0,1.0,2.41,3.53,2.84,,,,,,,,,2.7,3.3,2.37,2.37,1.53,,,,,,,0.41,0.28,0.35,,,,,,,,,0.37,0.3,0.42,0.42,0.65,,,,,,,2026
Al Taawoun vs Al Khaleej,2026-08-15 16:15:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Taawoun,Al Khaleej,,,8,11,6.0,4.0,4.0,3.0,12.0,9.0,90.0,63.0,53.0,36.0,53.0,47.0,,,11.0,5.0,1.0,4.0,1.0,1.0,3.0,10.0,7.0,12.0,10.0,14.0,6.0,3.0,1.0,3.0,2.2,3.42,3.29,,,,,,,,,2.2,3.3,3.0,2.1,1.66,,,,,1.8,2.0,0.45,0.29,0.3,,,,,,,,,0.45,0.3,0.33,0.48,0.6,,,,,0.56,0.5,2026
Al Nassr vs Al Fateh,2026-08-15 18:00:00,Al Nassr won after full-time.,Saudi Arabia Liga Profissional,Al Nassr,Al Fateh,3.0,0.0,9,10,6.0,4.0,7.0,5.0,18.0,9.0,97.0,79.0,61.0,32.0,59.0,41.0,,,14.0,5.0,4.0,4.0,3.0,4.0,4.0,11.0,14.0,8.0,11.0,10.0,3.0,6.0,1.0,1.0,1.16,8.21,13.44,,,,,,,,,1.2,5.75,10.0,1.9,1.8,,,,,,,0.86,0.12,0.07,,,,,,,,,0.83,0.17,0.1,0.53,0.56,,,,,,,2026
Al Ittihad vs Al Kholood,2026-08-15 18:00:00,Game ended in draw.,Saudi Arabia Liga Profissional,Al Ittihad,Al Kholood,1.0,1.0,12,7,5.0,3.0,4.0,4.0,15.0,11.0,82.0,87.0,48.0,48.0,49.0,51.0,1.0,0.0,9.0,7.0,6.0,4.0,1.0,1.0,5.0,5.0,10.0,8.0,9.0,13.0,4.0,3.0,1.0,1.0,1.62,4.07,5.16,,,,,,,,,1.6,3.75,5.0,2.0,1.72,,,,,,,0.62,0.25,0.19,,,,,,,,,0.62,0.27,0.2,0.5,0.58,,,,,,,2026
