name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Sabadell vs Almería,2026-08-29 15:00:00,Sabadell won after full-time.,Spain La Liga 2,Sabadell,Almería,1.0,0.0,16,10,4,3,7,7,14,11,90,88,49,41,43,57,,,11.0,8.0,3.0,3.0,3.0,0.0,9.0,8.0,9.0,7.0,17.0,8.0,2.0,3.0,5.0,2.0,2.49,3.24,3.1,,,1.84,1.96,2.07,1.83,,,2.62,3.1,2.75,1.8,1.9,1.85,1.95,,,,,0.4,0.31,0.32,,,0.54,0.51,0.48,0.55,,,0.38,0.32,0.36,0.56,0.53,0.54,0.51,,,,,2026-2027
Leganés vs Eldense,2026-08-29 17:00:00,Leganés won after full-time.,Spain La Liga 2,Leganés,Eldense,1.0,0.0,6,19,0,8,3,6,11,16,91,115,30,46,52,48,,,9.0,9.0,2.0,7.0,2.0,2.0,7.0,7.0,8.0,10.0,13.0,10.0,4.0,5.0,1.0,0.0,1.88,3.5,4.62,,,,,1.9,1.99,2.01,1.83,1.85,3.5,4.1,1.8,1.9,,,,,2.02,1.77,0.53,0.29,0.22,,,,,0.53,0.5,0.5,0.55,0.54,0.29,0.24,0.56,0.53,,,,,0.5,0.56,2026-2027
Albacete vs Real Oviedo,2026-08-29 17:00:00,Real Oviedo won after full-time.,Spain La Liga 2,Albacete,Real Oviedo,0.0,1.0,20,18,8,5,4,2,10,9,107,60,61,34,63,37,,,9.0,7.0,1.0,2.0,2.0,2.0,5.0,7.0,7.0,5.0,10.0,14.0,4.0,2.0,3.0,3.0,2.45,3.12,3.28,,,1.84,2.05,,,,,2.4,3.2,3.0,1.72,2.0,1.8,2.0,,,,,0.41,0.32,0.3,,,0.54,0.49,,,,,0.42,0.31,0.33,0.58,0.5,0.56,0.5,,,,,2026-2027
Girona vs Las Palmas,2026-08-29 19:30:00,Girona won after full-time.,Spain La Liga 2,Girona,Las Palmas,5.0,2.0,17,2,4,1,8,0,17,5,25,62,18,25,44,56,,,12.0,3.0,5.0,2.0,5.0,0.0,1.0,8.0,16.0,5.0,17.0,13.0,3.0,3.0,2.0,2.0,1.74,3.81,5.07,,,,,,,1.84,2.06,1.7,3.7,5.0,2.0,1.72,,,,,1.8,2.0,0.57,0.26,0.2,,,,,,,0.54,0.49,0.59,0.27,0.2,0.5,0.58,,,,,0.56,0.5,2026-2027
FC Andorra vs SD Eibar,2026-08-30 15:00:00,SD Eibar won after full-time.,Spain La Liga 2,FC Andorra,SD Eibar,0.0,1.0,12,16,7,2,12,2,28,4,148,67,104,19,78,22,,,8.0,1.0,20.0,3.0,2.0,1.0,7.0,20.0,15.0,2.0,12.0,5.0,0.0,5.0,1.0,0.0,2.09,3.35,3.9,,,,,1.85,2.04,2.03,1.86,2.0,3.3,3.75,1.9,1.8,,,,,1.95,1.85,0.48,0.3,0.26,,,,,0.54,0.49,0.49,0.54,0.5,0.3,0.27,0.53,0.56,,,,,0.51,0.54,2026-2027
Mallorca vs Ceuta,2026-08-30 17:00:00,Mallorca won after full-time.,Spain La Liga 2,Mallorca,Ceuta,3.0,0.0,15,22,3,3,6,3,13,5,95,74,51,19,53,47,,,9.0,2.0,4.0,3.0,2.0,1.0,2.0,8.0,10.0,2.0,11.0,14.0,1.0,1.0,2.0,3.0,1.42,4.99,7.57,,,,,,,,,1.38,4.5,9.0,1.83,1.83,,,,,1.8,2.0,0.7,0.2,0.13,,,,,,,,,0.72,0.22,0.11,0.55,0.55,,,,,0.56,0.5,2026-2027
Cádiz vs Real Valladolid,2026-08-30 17:00:00,Game ended in draw.,Spain La Liga 2,Cádiz,Real Valladolid,1.0,1.0,18,21,4,6,5,4,10,13,85,116,27,42,50,50,1.0,0.0,5.0,6.0,5.0,7.0,3.0,2.0,10.0,5.0,5.0,12.0,16.0,12.0,6.0,1.0,4.0,4.0,2.76,3.12,2.85,,,1.71,1.99,2.11,1.8,,,2.7,3.0,2.75,1.8,1.9,1.77,2.02,,,,,0.36,0.32,0.35,,,0.58,0.5,0.47,0.56,,,0.37,0.33,0.36,0.56,0.53,0.56,0.5,,,,,2026-2027
Córdoba vs Granada,2026-08-30 19:30:00,Granada won after full-time.,Spain La Liga 2,Córdoba,Granada,1.0,3.0,17,9,6,3,5,8,15,17,91,89,43,34,57,43,,,8.0,10.0,7.0,7.0,1.0,4.0,11.0,8.0,8.0,12.0,21.0,18.0,2.0,2.0,1.0,1.0,1.83,3.49,4.93,,,,,,,1.89,2.0,1.8,3.5,4.5,2.1,1.66,,,,,1.82,1.97,0.55,0.29,0.2,,,,,,,0.53,0.5,0.56,0.29,0.22,0.48,0.6,,,,,0.55,0.51,2026-2027
Burgos vs Real Sociedad II,2026-08-31 17:00:00,Game ended in draw.,Spain La Liga 2,Burgos,Real Sociedad II,2.0,2.0,13,17,6,4,5,8,12,15,96,107,31,28,54,46,1.0,0.0,9.0,9.0,3.0,6.0,2.0,2.0,12.0,9.0,8.0,13.0,13.0,18.0,3.0,2.0,1.0,2.0,1.97,3.35,4.38,,,,,1.99,1.9,,,1.95,3.2,4.33,1.72,2.0,,,,,,,0.51,0.3,0.23,,,,,0.5,0.53,,,0.51,0.31,0.23,0.58,0.5,,,,,,,2026-2027
Celta Fortuna vs Castellón,2026-08-31 19:30:00,Castellón won after full-time.,Spain La Liga 2,Celta Fortuna,Castellón,1.0,2.0,10,11,3,3,6,5,12,13,96,110,30,43,46,54,,,7.0,10.0,5.0,3.0,3.0,1.0,7.0,7.0,10.0,10.0,11.0,10.0,3.0,2.0,1.0,3.0,3.97,4.17,1.84,,,,,,,,,4.1,3.75,1.8,2.2,1.61,,,,,1.8,2.0,0.25,0.24,0.54,,,,,,,,,0.24,0.27,0.56,0.45,0.62,,,,,0.56,0.5,2026-2027
