team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anderlecht,1.0,0.0,7.0,2.0,6.0,4.0,14.0,6.0,120.0,76.0,77.0,35.0,58.0,42.0,,,11.0,4.0,3.0,2.0,1.0,5.0,5.0,11.0,9.0,5.0,11.0,18.0,1.0,4.0,2.0,2.0,0.71,0.19,0.14,,,,,,,,,0.74,0.21,0.15,0.49,0.59,,,,,,,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,1.0,0.0,13.0,4.0,4.0,3.0,20.0,14.0,97.0,85.0,83.0,43.0,56.0,44.0,1.0,0.0,19.0,11.0,1.0,3.0,3.0,0.0,7.0,2.0,10.0,7.0,8.0,14.0,3.0,6.0,1.0,2.0,0.46,0.3,0.27,,,,,,,0.53,0.5,0.5,0.3,0.29,0.45,0.62,,,,,0.55,0.51
Club Brugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,0.0,1.0,2.0,9.0,4.0,7.0,7.0,13.0,71.0,102.0,44.0,50.0,48.0,52.0,,,5.0,10.0,2.0,3.0,1.0,3.0,10.0,7.0,3.0,3.0,10.0,13.0,2.0,2.0,1.0,2.0,0.11,0.16,0.78,,,,,,,,,0.11,0.18,0.8,0.45,0.62,,,,,,
Gent,1.0,0.0,10.0,1.0,10.0,6.0,15.0,8.0,89.0,116.0,41.0,47.0,43.0,57.0,,,7.0,6.0,8.0,2.0,2.0,1.0,8.0,10.0,8.0,5.0,9.0,8.0,1.0,0.0,1.0,2.0,0.6,0.26,0.19,,,,,,,0.5,0.53,0.62,0.28,0.19,0.56,0.51,,,,,0.5,0.56,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KV Kortrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,1.0,0.0,7.0,2.0,6.0,4.0,14.0,6.0,120.0,76.0,77.0,35.0,58.0,42.0,,,11.0,4.0,3.0,2.0,1.0,5.0,5.0,11.0,9.0,5.0,11.0,18.0,1.0,4.0,2.0,2.0,0.71,0.19,0.14,,,,,,,,,0.74,0.21,0.15,0.49,0.59,,,,,,
La Louvière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,4.0,0.0,12.0,5.0,9.0,5.0,23.0,9.0,106.0,82.0,57.0,26.0,73.0,27.0,,,20.0,3.0,3.0,6.0,0.0,1.0,8.0,9.0,12.0,7.0,7.0,10.0,1.0,3.0,1.0,2.0,0.65,0.22,0.16,,,,,,,,,0.65,0.26,0.2,0.51,0.56,,,,,,
Lommel SK,0.0,1.0,2.0,9.0,4.0,7.0,7.0,13.0,71.0,102.0,44.0,50.0,48.0,52.0,,,5.0,10.0,2.0,3.0,1.0,3.0,10.0,7.0,3.0,3.0,10.0,13.0,2.0,2.0,1.0,2.0,0.11,0.16,0.78,,,,,,,,,0.11,0.18,0.8,0.45,0.62,,,,,,,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechelen,0.0,4.0,5.0,6.0,6.0,11.0,8.0,21.0,105.0,83.0,53.0,44.0,56.0,44.0,,,7.0,16.0,1.0,5.0,2.0,1.0,10.0,9.0,6.0,15.0,14.0,14.0,1.0,2.0,3.0,2.0,0.5,0.27,0.27,,,,,,,,,0.53,0.28,0.29,0.44,0.64,,,,,,,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium Liga Pro,2026-2027,1.0,0.0,10.0,1.0,10.0,6.0,15.0,8.0,89.0,116.0,41.0,47.0,43.0,57.0,,,7.0,6.0,8.0,2.0,2.0,1.0,8.0,10.0,8.0,5.0,9.0,8.0,1.0,0.0,1.0,2.0,0.6,0.26,0.19,,,,,,,0.5,0.53,0.62,0.28,0.19,0.56,0.51,,,,,0.5,0.56
Sint-Truiden,2.0,1.5,7.5,3.0,5.5,4.5,14.5,10.5,97.0,92.5,48.5,33.0,61.5,38.5,,,11.5,5.5,3.0,5.0,0.5,1.5,7.0,7.5,7.5,8.5,10.5,10.0,2.0,2.0,2.0,2.0,0.46,0.24,0.34,,,,,,,,,0.46,0.28,0.37,0.48,0.6,,,,,,,Belgium Liga Pro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
