team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alianza Petrolera,1.0,1.36,4.5,3.75,5.58,3.75,11.5,10.0,91.17,90.25,41.25,33.42,48.5,51.5,0.0,1.0,5.75,4.75,5.75,5.25,2.64,1.18,6.7,9.4,8.42,7.42,13.33,14.0,4.0,3.92,3.08,3.0,0.42,0.32,0.31,0.44,0.61,0.53,0.52,0.51,0.54,0.52,0.53,0.43,0.32,0.32,0.61,0.47,0.53,0.52,0.53,0.52,,,Colombia Liga BetPlay,2026,2.0,0.67,5.0,3.8,4.8,5.4,12.1,10.6,99.2,65.5,38.6,23.8,57.8,42.2,0.75,0.5,6.7,5.0,5.4,5.6,1.4,1.6,8.2,8.0,9.2,7.2,10.6,9.4,2.0,4.3,2.33,2.33,0.56,0.29,0.21,0.45,0.6,0.54,0.51,0.51,0.55,0.52,0.53,0.56,0.29,0.21,0.62,0.46,0.52,0.54,0.52,0.53,0.5,0.56
América de Cali,2.18,0.36,4.75,3.33,7.5,4.67,16.58,9.0,95.0,73.33,54.08,37.0,57.25,42.75,0.75,0.5,8.58,4.25,8.0,4.75,1.83,1.83,5.73,10.55,12.33,6.92,12.92,10.83,2.75,3.67,3.0,2.82,0.57,0.28,0.19,0.48,0.57,0.56,0.48,0.52,0.53,0.51,0.54,0.59,0.28,0.2,0.6,0.48,0.52,0.54,0.51,0.55,0.52,0.53,Colombia Liga BetPlay,2026,1.23,1.0,4.69,2.69,6.38,4.92,13.85,10.85,86.15,79.0,40.62,31.46,47.15,52.85,0.83,0.5,7.85,5.85,6.0,5.0,1.62,1.77,8.25,8.92,9.92,8.15,11.46,12.38,3.08,3.69,3.15,3.08,0.38,0.32,0.34,0.49,0.57,0.54,0.51,0.52,0.53,0.5,0.55,0.38,0.33,0.36,0.58,0.51,0.54,0.52,0.54,0.51,,
Atlético Bucaramanga,2.33,0.89,4.82,3.0,6.73,4.09,14.45,7.91,102.55,77.91,44.18,22.91,55.73,44.27,0.0,1.0,7.9,3.4,6.2,4.4,2.36,1.0,6.33,9.33,10.82,5.73,12.82,11.45,2.09,3.82,3.36,3.55,0.59,0.28,0.18,0.47,0.58,0.53,0.51,0.52,0.52,0.52,0.53,0.6,0.28,0.18,0.6,0.47,0.53,0.52,0.54,0.52,0.52,0.54,Colombia Liga BetPlay,2026,1.6,1.1,4.17,4.08,5.33,5.17,11.92,11.75,89.25,89.75,33.92,33.75,52.17,47.83,0.67,0.67,6.42,5.92,5.58,5.83,1.2,2.1,9.2,8.7,8.42,8.33,10.42,10.25,3.5,2.83,2.83,1.92,0.4,0.32,0.33,0.48,0.58,0.53,0.52,0.52,0.53,0.49,0.56,0.4,0.32,0.34,0.6,0.48,0.52,0.54,0.51,0.55,0.56,0.5
Atlético Nacional,3.0,0.45,6.0,3.17,9.17,6.25,21.08,11.75,97.08,69.08,38.83,25.67,56.92,43.08,1.33,0.0,12.25,5.5,8.83,6.17,2.42,1.5,7.83,10.83,15.42,8.17,9.92,7.5,2.92,5.75,2.08,1.75,0.68,0.23,0.14,0.49,0.57,,,0.56,0.5,0.53,0.52,0.7,0.22,0.15,0.57,0.51,,,0.5,0.56,0.53,0.53,Colombia Liga BetPlay,2026,1.13,1.27,5.2,4.67,6.6,5.53,13.67,12.93,67.47,86.87,34.73,34.53,43.73,56.27,0.5,0.5,6.27,6.87,7.4,5.93,2.0,2.53,8.79,8.79,10.36,9.07,11.87,12.07,4.0,4.27,2.8,2.8,0.31,0.3,0.43,0.56,0.49,0.56,0.49,0.53,0.52,0.52,0.53,0.31,0.3,0.45,0.52,0.57,,,0.52,0.54,0.52,0.53
Boyacá Chicó,1.44,0.56,4.67,4.11,5.44,5.67,12.11,10.89,85.44,72.0,27.11,22.0,51.11,48.89,,,5.33,5.89,6.78,5.0,2.0,2.67,6.17,10.5,8.56,7.56,14.0,10.56,1.67,2.67,3.33,3.33,0.32,0.33,0.4,0.44,0.6,0.52,0.52,0.49,0.55,,,0.33,0.32,0.42,0.61,0.47,0.51,0.54,0.53,0.53,,,Colombia Liga BetPlay,2026,3.0,0.17,4.5,2.5,5.67,3.17,14.92,7.75,94.75,69.0,46.5,24.33,57.92,42.08,0.8,0.2,8.75,3.33,6.17,4.42,3.0,1.75,6.44,9.11,10.67,4.5,13.25,12.5,1.58,3.25,2.5,2.58,0.71,0.23,0.11,0.39,0.66,0.52,0.52,0.53,0.52,0.5,0.55,0.72,0.24,0.11,0.64,0.44,0.52,0.53,0.51,0.54,0.52,0.54
Cúcuta Deportivo,1.3,1.4,3.5,6.0,3.8,5.4,9.0,14.7,65.4,88.6,27.3,43.3,43.7,56.3,0.6,0.6,4.9,9.0,4.0,5.7,2.5,1.1,8.0,6.2,7.3,11.4,9.9,15.0,4.9,2.6,2.7,3.3,0.39,0.31,0.35,0.51,0.54,0.53,0.51,0.53,0.51,0.5,0.55,0.39,0.32,0.36,0.55,0.53,0.52,0.53,0.52,0.54,0.53,0.53,Colombia Liga BetPlay,2026,2.5,1.0,5.08,4.15,7.23,5.0,17.08,10.77,92.23,82.77,42.85,34.0,51.31,48.69,0.33,0.67,9.23,5.62,6.77,4.92,1.62,1.46,6.58,10.92,12.5,8.25,11.23,10.0,3.62,5.62,2.75,2.42,0.56,0.28,0.21,0.49,0.56,0.55,0.5,0.53,0.52,0.52,0.53,0.56,0.28,0.23,0.58,0.5,0.52,0.53,0.52,0.54,0.55,0.51
Deportes Tolima,1.73,0.87,5.53,3.87,6.27,4.87,15.6,11.07,103.2,80.47,40.27,29.13,60.4,39.6,0.83,0.33,8.13,5.93,7.47,5.07,1.73,2.07,6.46,8.92,11.27,7.47,9.4,9.2,3.07,4.2,2.14,2.14,0.54,0.29,0.23,0.48,0.57,0.54,0.51,0.52,0.53,0.52,0.53,0.56,0.28,0.22,0.59,0.49,0.51,0.54,0.52,0.54,0.53,0.53,Colombia Liga BetPlay,2026,1.4,1.3,5.5,4.0,6.25,4.83,13.17,10.58,87.33,75.75,33.92,28.67,48.67,51.33,0.67,0.67,5.58,5.17,7.58,5.42,3.42,1.33,7.67,8.67,9.83,7.67,10.67,11.17,2.33,3.0,2.33,2.5,0.45,0.31,0.29,0.48,0.57,0.55,0.5,0.51,0.54,0.51,0.54,0.45,0.31,0.3,0.58,0.5,0.52,0.54,0.53,0.53,0.53,0.53
Deportivo Cali,1.4,0.6,6.0,3.82,6.36,3.45,14.45,9.0,100.73,69.27,38.82,17.18,55.64,44.36,0.67,0.67,7.64,5.0,6.73,4.0,1.4,1.6,4.67,9.56,10.73,6.09,15.0,10.91,2.91,4.36,2.82,3.55,0.51,0.3,0.24,0.47,0.58,0.55,0.51,0.52,0.53,0.49,0.56,0.51,0.3,0.25,0.6,0.48,0.53,0.52,0.53,0.53,0.5,0.56,Colombia Liga BetPlay,2026,1.1,1.0,5.64,3.82,5.64,5.55,11.82,12.09,82.45,86.91,35.64,34.55,54.0,46.0,1.0,1.0,6.45,5.82,5.27,5.82,2.3,1.4,8.2,7.8,8.4,9.0,12.09,14.82,3.18,3.55,3.36,2.82,0.4,0.32,0.32,0.49,0.56,0.52,0.53,0.52,0.54,0.49,0.56,0.41,0.32,0.33,0.57,0.51,0.53,0.53,0.52,0.53,,
Deportivo Pasto,1.25,1.17,4.38,3.69,5.15,4.92,11.62,11.92,85.15,86.08,41.62,37.08,52.54,47.46,0.67,0.33,5.92,5.77,5.69,6.08,2.67,1.75,7.27,8.73,7.69,8.46,10.62,11.23,3.92,3.15,2.58,2.67,0.43,0.31,0.3,0.45,0.6,0.54,0.51,0.51,0.54,0.51,0.54,0.44,0.32,0.31,0.6,0.47,0.53,0.53,0.52,0.53,0.51,0.54,Colombia Liga BetPlay,2026,2.09,1.55,4.75,3.67,4.17,4.83,11.75,11.58,91.33,84.0,33.17,31.25,48.25,51.75,0.67,0.67,6.92,6.58,4.92,5.0,2.58,1.33,6.56,6.67,8.55,8.27,14.83,10.08,3.08,4.5,2.42,3.75,0.52,0.3,0.23,0.46,0.59,0.52,0.53,0.52,0.52,0.51,0.53,0.53,0.31,0.24,0.6,0.48,0.54,0.52,0.53,0.53,0.52,0.54
Deportivo Pereira,1.29,1.86,3.44,5.0,5.44,6.44,11.67,13.67,62.0,99.0,21.78,42.67,46.11,53.89,0.5,1.0,6.33,7.78,5.22,5.89,2.33,1.0,8.5,7.25,8.44,10.22,10.44,10.44,3.56,3.67,2.67,2.44,0.26,0.31,0.48,0.49,0.56,0.54,0.51,0.52,0.53,0.5,0.55,0.28,0.3,0.48,0.57,0.52,0.53,0.53,0.55,0.5,0.5,0.55,Colombia Liga BetPlay,2026,1.82,0.55,6.83,1.5,8.0,3.25,19.25,7.0,102.5,61.83,30.33,16.58,56.42,43.58,0.67,0.67,10.08,2.58,9.17,4.42,1.0,1.64,5.12,11.38,14.33,5.5,9.25,9.17,2.42,5.5,2.45,2.55,0.67,0.25,0.13,0.42,0.63,0.54,0.51,0.52,0.53,0.5,0.54,0.68,0.25,0.15,0.64,0.44,0.54,0.52,0.53,0.52,0.52,0.53
