team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Bayer 04 Leverkusen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga,2026-2027,3.0,2.0,4.0,3.0,3.0,13.0,11.0,21.0,59.0,143.0,29.0,74.0,33.0,67.0,,,8.0,13.0,3.0,8.0,1.0,1.0,19.0,4.0,8.0,18.0,18.0,15.0,2.0,3.0,3.0,2.0,0.19,0.22,0.62,,,,,,,,,0.19,0.23,0.64,0.42,0.65,,,,,,
Borussia Dortmund,2.0,0.0,3.0,1.0,9.0,5.0,20.0,8.0,131.0,75.0,63.0,34.0,56.0,44.0,,,12.0,4.0,8.0,4.0,1.0,1.0,6.0,17.0,16.0,5.0,13.0,19.0,3.0,5.0,2.0,1.0,0.73,0.18,0.13,,,,,,,,,0.75,0.19,0.12,0.5,0.57,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borussia Mönchengladbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga,2026-2027,3.0,0.0,7.0,6.0,10.0,5.0,25.0,15.0,91.0,84.0,39.0,45.0,47.0,53.0,,,19.0,10.0,6.0,5.0,0.0,5.0,10.0,7.0,19.0,9.0,10.0,13.0,4.0,8.0,1.0,0.0,0.63,0.22,0.18,,,,,,,,,0.65,0.22,0.19,0.42,0.65,,,,,,
Eintracht Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga,2026-2027,3.0,3.0,5.0,2.0,3.0,4.0,19.0,12.0,114.0,95.0,55.0,58.0,49.0,51.0,,,15.0,7.0,4.0,5.0,2.0,2.0,7.0,2.0,11.0,7.0,11.0,10.0,0.0,8.0,2.0,4.0,0.37,0.27,0.38,,,,,,,,,0.38,0.27,0.4,0.42,0.65,,,,,,
Elversberg,3.0,2.0,4.0,3.0,3.0,13.0,11.0,21.0,59.0,143.0,29.0,74.0,33.0,67.0,,,8.0,13.0,3.0,8.0,1.0,1.0,19.0,4.0,8.0,18.0,18.0,15.0,2.0,3.0,3.0,2.0,0.19,0.22,0.62,,,,,,,,,0.19,0.23,0.64,0.42,0.65,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Augsburg,3.0,0.0,11.0,3.0,6.0,5.0,24.0,11.0,99.0,103.0,52.0,41.0,48.0,52.0,,,18.0,7.0,6.0,4.0,3.0,2.0,7.0,7.0,14.0,5.0,5.0,6.0,4.0,10.0,1.0,0.0,0.43,0.28,0.31,,,,,,,,,0.43,0.28,0.34,0.45,0.62,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Köln,3.0,2.0,6.0,7.0,7.0,7.0,18.0,15.0,75.0,102.0,45.0,69.0,41.0,59.0,0.0,1.0,13.0,8.0,5.0,7.0,,,12.0,8.0,10.0,12.0,11.0,14.0,2.0,3.0,0.0,2.0,0.32,0.27,0.44,,,,,,,,,0.32,0.27,0.47,0.38,0.69,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Union Berlin,3.0,3.0,5.0,2.0,3.0,4.0,19.0,12.0,114.0,95.0,55.0,58.0,49.0,51.0,,,15.0,7.0,4.0,5.0,2.0,2.0,7.0,2.0,11.0,7.0,11.0,10.0,0.0,8.0,2.0,4.0,0.37,0.27,0.38,,,,,,,,,0.38,0.27,0.4,0.42,0.65,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSV Mainz 05,,,11.0,2.0,11.0,6.0,21.0,10.0,124.0,72.0,74.0,38.0,51.0,49.0,,,14.0,6.0,7.0,4.0,1.0,1.0,6.0,11.0,9.0,4.0,8.0,10.0,0.0,4.0,1.0,2.0,0.65,0.22,0.16,,,,,,,,,0.67,0.22,0.17,0.45,0.62,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamburger SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga,2026-2027,2.0,0.0,3.0,1.0,9.0,5.0,20.0,8.0,131.0,75.0,63.0,34.0,56.0,44.0,,,12.0,4.0,8.0,4.0,1.0,1.0,6.0,17.0,16.0,5.0,13.0,19.0,3.0,5.0,2.0,1.0,0.73,0.18,0.13,,,,,,,,,0.75,0.19,0.12,0.5,0.57,,,,,,
