team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Asteras Tripolis,0.0,2.0,7.0,4.0,7.0,3.0,14.0,6.0,109.0,55.0,78.0,26.0,65.0,35.0,0.0,1.0,11.0,3.0,3.0,3.0,3.0,0.0,5.0,12.0,8.0,5.0,15.0,12.0,5.0,5.0,4.0,2.0,0.51,0.29,0.23,,,,,0.5,0.54,,,0.5,0.31,0.26,0.57,0.5,,,,,,,Greece Super Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atromitos,1.0,1.0,8.0,2.0,5.0,7.0,10.0,12.0,90.0,63.0,58.0,38.0,58.0,42.0,,,4.0,8.0,6.0,4.0,0.0,2.0,9.0,8.0,5.0,8.0,17.0,14.0,3.0,1.0,2.0,5.0,0.51,0.29,0.24,,,,,0.55,0.49,,,0.51,0.29,0.26,0.53,0.53,,,,,0.5,0.56,Greece Super Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraklis Tessalônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece Super Liga,2026-2027,0.0,2.0,7.0,4.0,7.0,3.0,14.0,6.0,109.0,55.0,78.0,26.0,65.0,35.0,0.0,1.0,11.0,3.0,3.0,3.0,3.0,0.0,5.0,12.0,8.0,5.0,15.0,12.0,5.0,5.0,4.0,2.0,0.51,0.29,0.23,,,,,0.5,0.54,,,0.5,0.31,0.26,0.57,0.5,,,,,,
Kalamata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece Super Liga,2026-2027,1.0,1.0,8.0,2.0,5.0,7.0,10.0,12.0,90.0,63.0,58.0,38.0,58.0,42.0,,,4.0,8.0,6.0,4.0,0.0,2.0,9.0,8.0,5.0,8.0,17.0,14.0,3.0,1.0,2.0,5.0,0.51,0.29,0.24,,,,,0.55,0.49,,,0.51,0.29,0.26,0.53,0.53,,,,,0.5,0.56
Kifisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece Super Liga,2026-2027,2.0,0.0,1.0,9.0,2.0,6.0,5.0,16.0,61.0,104.0,20.0,66.0,50.0,50.0,,,2.0,10.0,3.0,6.0,2.0,4.0,9.0,2.0,5.0,8.0,12.0,18.0,3.0,1.0,2.0,2.0,0.45,0.31,0.27,,,,,,,,,0.48,0.31,0.29,0.53,0.53,,,,,,
Levadiakos,0.0,2.0,8.0,2.0,11.0,6.0,17.0,9.0,120.0,75.0,61.0,49.0,66.0,34.0,,,5.0,7.0,12.0,2.0,2.0,1.0,8.0,16.0,10.0,10.0,11.0,18.0,1.0,1.0,0.0,4.0,0.49,0.3,0.25,,,,,0.49,0.55,0.49,0.55,0.49,0.3,0.27,0.57,0.5,,,,,0.5,0.56,Greece Super Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFI,2.0,0.0,1.0,9.0,2.0,6.0,5.0,16.0,61.0,104.0,20.0,66.0,50.0,50.0,,,2.0,10.0,3.0,6.0,2.0,4.0,9.0,2.0,5.0,8.0,12.0,18.0,3.0,1.0,2.0,2.0,0.45,0.31,0.27,,,,,,,,,0.48,0.31,0.29,0.53,0.53,,,,,,,Greece Super Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece Super Liga,2026-2027,3.0,1.0,5.0,2.0,7.0,3.0,25.0,5.0,129.0,55.0,75.0,27.0,71.0,29.0,1.0,0.0,15.0,4.0,10.0,1.0,3.0,1.0,5.0,11.0,16.0,5.0,19.0,11.0,1.0,8.0,3.0,1.0,0.51,0.29,0.24,,,,,,,0.53,0.51,0.51,0.28,0.27,0.49,0.59,,,,,0.55,0.51
Panaitolikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece Super Liga,2026-2027,0.0,2.0,8.0,2.0,11.0,6.0,17.0,9.0,120.0,75.0,61.0,49.0,66.0,34.0,,,5.0,7.0,12.0,2.0,2.0,1.0,8.0,16.0,10.0,10.0,11.0,18.0,1.0,1.0,0.0,4.0,0.49,0.3,0.25,,,,,0.49,0.55,0.49,0.55,0.49,0.3,0.27,0.57,0.5,,,,,0.5,0.56
Panathinaikos,3.0,1.0,5.0,2.0,7.0,3.0,25.0,5.0,129.0,55.0,75.0,27.0,71.0,29.0,1.0,0.0,15.0,4.0,10.0,1.0,3.0,1.0,5.0,11.0,16.0,5.0,19.0,11.0,1.0,8.0,3.0,1.0,0.51,0.29,0.24,,,,,,,0.53,0.51,0.51,0.28,0.27,0.49,0.59,,,,,0.55,0.51,Greece Super Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
