team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anyang,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,77.0,131.0,44.0,93.0,41.0,59.0,1.0,0.0,,,,,1.0,0.0,,,4.0,6.0,12.0,14.0,1.0,0.0,3.0,5.0,0.25,0.3,0.49,,,,,0.53,0.51,,,0.26,0.3,0.54,0.56,0.53,,,,,,,K League 1,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucheon 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K League 1,2026,1.0,0.0,9.0,4.0,7.0,0.0,8.0,1.0,126.0,73.0,109.0,47.0,64.0,36.0,,,,,,,1.0,1.0,,,8.0,4.0,7.0,7.0,2.0,2.0,2.0,3.0,0.71,0.2,0.13,,,,,,,0.54,0.49,0.72,0.22,0.15,0.55,0.55,,,,,0.56,0.5
Daejeon Citizen,2.5,0.5,4.5,1.0,4.5,1.0,9.5,2.5,149.5,80.0,85.5,34.5,67.0,33.0,,,10.0,3.0,4.0,1.0,2.0,0.0,3.0,8.0,12.0,3.0,7.0,7.5,2.0,3.0,1.5,1.0,0.44,0.29,0.3,,,,,0.49,0.54,,,0.46,0.3,0.32,0.48,0.6,,,,,,,K League 1,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangwon,2.0,2.0,12.0,3.0,5.0,2.0,14.0,8.0,127.0,54.0,92.0,26.0,69.0,31.0,0.0,1.0,,,,,1.0,0.0,,,18.0,8.0,11.0,14.0,3.0,8.0,1.0,1.0,0.65,0.25,0.14,,,,,0.51,0.52,0.48,0.55,0.68,0.25,0.16,0.64,0.44,,,,,,,K League 1,2026,3.0,0.0,2.0,0.0,6.0,2.0,14.0,4.0,173.0,83.0,85.0,26.0,70.0,30.0,,,10.0,3.0,4.0,1.0,,,3.0,8.0,,,7.0,8.0,2.0,1.0,1.0,0.0,0.43,0.31,0.29,,,,,0.49,0.54,,,0.45,0.32,0.32,0.55,0.55,,,,,,
Gimcheon Sangmu,,,12.0,5.0,3.0,0.0,3.0,2.0,89.0,72.0,63.0,50.0,55.0,45.0,,,,,,,0.0,1.0,,,7.0,3.0,9.0,6.0,2.0,4.0,1.0,2.0,0.31,0.29,0.43,,,,,,,0.5,0.53,0.33,0.31,0.45,0.5,0.58,,,,,0.51,0.54,K League 1,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwangju,0.0,1.0,2.0,3.0,2.0,6.0,7.0,9.0,93.0,73.0,51.0,64.0,47.0,53.0,0.0,1.0,6.0,6.0,1.0,3.0,3.0,2.0,8.0,3.0,5.0,5.0,9.0,8.0,0.0,3.0,2.0,1.0,0.24,0.29,0.51,,,0.55,0.48,0.49,0.54,,,0.24,0.31,0.53,0.6,0.48,,,,,,,K League 1,2026,2.0,2.0,12.0,3.0,5.0,2.0,14.0,8.0,127.0,54.0,92.0,26.0,69.0,31.0,0.0,1.0,,,,,1.0,0.0,,,18.0,8.0,11.0,14.0,3.0,8.0,1.0,1.0,0.65,0.25,0.14,,,,,0.51,0.52,0.48,0.55,0.68,0.25,0.16,0.64,0.44,,,,,,
Incheon United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K League 1,2026,1.0,1.0,1.5,3.0,1.5,4.0,5.0,6.0,85.0,102.0,47.5,78.5,44.0,56.0,0.5,0.5,6.0,6.0,1.0,3.0,2.0,1.0,8.0,3.0,4.5,5.5,10.5,11.0,0.5,1.5,2.5,3.0,0.24,0.3,0.5,,,0.55,0.48,0.51,0.52,,,0.25,0.3,0.54,0.58,0.5,,,,,,
Jeju United,1.0,2.0,4.0,3.0,7.0,5.0,9.0,9.0,110.0,114.0,82.0,67.0,52.0,48.0,,,,,,,0.0,1.0,,,11.0,7.0,12.0,12.0,2.0,4.0,0.0,2.0,0.39,0.31,0.33,,,0.56,0.48,0.48,0.55,,,0.43,0.33,0.33,0.56,0.53,,,,,,,K League 1,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeonbuk Motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K League 1,2026,,,12.0,5.0,3.0,0.0,3.0,2.0,89.0,72.0,63.0,50.0,55.0,45.0,,,,,,,0.0,1.0,,,7.0,3.0,9.0,6.0,2.0,4.0,1.0,2.0,0.31,0.29,0.43,,,,,,,0.5,0.53,0.33,0.31,0.45,0.5,0.58,,,,,0.51,0.54
Pohang Steelers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K League 1,2026,1.0,2.0,4.0,3.0,7.0,5.0,9.0,9.0,110.0,114.0,82.0,67.0,52.0,48.0,,,,,,,0.0,1.0,,,11.0,7.0,12.0,12.0,2.0,4.0,0.0,2.0,0.39,0.31,0.33,,,0.56,0.48,0.48,0.55,,,0.43,0.33,0.33,0.56,0.53,,,,,,
Seoul,1.0,0.0,9.0,4.0,7.0,0.0,8.0,1.0,126.0,73.0,109.0,47.0,64.0,36.0,,,,,,,1.0,1.0,,,8.0,4.0,7.0,7.0,2.0,2.0,2.0,3.0,0.71,0.2,0.13,,,,,,,0.54,0.49,0.72,0.22,0.15,0.55,0.55,,,,,0.56,0.5,K League 1,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
