team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
América,3.0,0.0,7.0,8.0,10.0,5.0,22.5,13.0,113.5,91.5,55.0,40.0,52.5,47.5,,,10.5,7.0,12.0,6.0,0.5,0.5,7.5,10.5,14.0,6.5,12.5,9.0,4.0,3.5,1.0,1.5,0.62,0.23,0.19,,,,,,,0.53,0.5,0.62,0.24,0.18,0.54,0.54,,,,,0.55,0.51,Mexico Liga MX,2026-2027,0.5,1.0,2.0,10.5,5.0,5.0,9.0,18.5,81.5,112.0,30.5,47.0,38.0,62.0,0.0,1.0,5.5,12.0,3.5,6.5,3.5,1.5,7.0,10.0,5.0,8.5,16.0,14.0,5.5,2.5,3.5,3.5,0.23,0.26,0.56,,,,,,,0.54,0.49,0.24,0.26,0.56,0.52,0.55,,,,,0.56,0.5
Atlante,1.0,1.0,5.0,8.0,4.0,5.5,11.0,15.5,94.0,127.0,32.5,42.5,40.5,59.5,,,5.0,8.5,6.0,7.0,2.5,3.0,8.0,6.5,9.0,8.0,13.5,10.5,4.5,4.0,1.5,1.5,0.18,0.24,0.64,,,,,,,0.54,0.49,0.18,0.24,0.63,0.52,0.55,,,,,0.56,0.5,Mexico Liga MX,2026-2027,2.0,2.0,9.0,5.0,4.0,4.5,15.0,11.5,114.0,73.0,39.0,31.5,62.5,37.5,1.0,0.5,12.5,5.5,2.5,6.0,2.5,1.5,7.5,8.0,9.0,9.5,11.0,13.5,3.0,5.5,1.5,1.5,0.62,0.23,0.18,,,,,,,,,0.62,0.26,0.19,0.49,0.57,,,,,,
Atlas,1.0,1.5,4.0,9.0,4.5,7.5,8.5,19.0,74.0,99.5,33.5,50.0,46.0,54.0,0.0,1.0,4.5,10.0,4.0,9.0,3.0,1.0,9.5,6.0,7.0,10.5,14.0,14.0,4.0,1.0,3.5,1.5,0.34,0.3,0.4,,,,,0.53,0.5,0.54,0.49,0.34,0.32,0.4,0.52,0.55,,,,,0.5,0.56,Mexico Liga MX,2026-2027,1.0,2.0,5.0,3.5,5.0,3.0,13.5,10.0,113.5,91.0,49.0,42.5,51.5,48.5,0.0,1.0,7.5,7.5,6.0,2.5,0.5,3.0,5.5,9.5,9.0,7.5,13.0,10.0,4.0,3.5,2.0,1.5,0.4,0.29,0.35,,,,,,,0.52,0.52,0.4,0.3,0.35,0.48,0.6,,,,,0.55,0.51
Atlético San Luis,2.0,3.0,4.5,2.5,8.0,5.5,13.5,13.0,87.5,89.0,41.0,42.0,57.5,42.5,0.0,1.0,8.0,8.0,5.5,5.0,1.5,1.5,7.5,14.0,8.5,8.5,7.5,9.5,3.5,3.0,1.5,1.5,0.31,0.27,0.45,,,,,,,0.54,0.5,0.32,0.28,0.46,0.49,0.59,,,,,0.53,0.52,Mexico Liga MX,2026-2027,2.5,1.0,9.5,4.0,11.5,6.0,22.5,13.0,112.5,75.0,59.5,25.0,48.0,52.0,,,11.0,3.5,11.5,9.5,0.5,1.5,6.0,11.5,10.5,4.5,14.0,11.0,2.0,2.5,2.0,1.5,0.6,0.24,0.2,,,,,,,0.54,0.5,0.59,0.26,0.2,0.54,0.53,,,,,0.56,0.5
Cruz Azul,2.0,2.0,7.0,4.0,6.0,2.0,20.5,10.5,127.0,72.0,48.5,29.5,64.0,36.0,1.0,1.0,12.5,4.0,8.0,6.5,2.0,2.0,7.0,7.0,12.5,8.5,11.0,9.0,3.5,6.5,2.0,2.0,0.74,0.18,0.12,,,,,,,,,0.72,0.2,0.13,0.53,0.53,,,,,,,Mexico Liga MX,2026-2027,2.0,2.0,4.5,5.0,6.0,6.0,13.0,17.5,74.0,115.0,29.0,57.5,44.5,55.5,0.0,1.0,8.5,10.0,4.5,7.5,4.5,1.0,9.5,9.0,8.5,10.5,11.0,12.5,5.5,3.0,2.0,2.5,0.26,0.27,0.5,,,,,,,0.54,0.5,0.28,0.29,0.49,0.49,0.59,,,,,0.53,0.52
Guadalajara,0.5,1.0,14.0,2.0,5.5,5.0,17.5,10.0,114.5,74.5,72.0,31.0,59.0,41.0,0.0,1.0,12.5,6.5,5.0,3.5,1.5,1.0,5.5,11.5,7.0,6.5,12.5,13.5,3.5,5.5,1.5,2.0,0.6,0.24,0.2,,,,,,,,,0.62,0.24,0.2,0.47,0.6,,,,,,,Mexico Liga MX,2026-2027,0.5,1.0,3.0,7.0,4.0,9.0,9.0,18.0,76.5,120.0,22.0,66.0,37.0,63.0,0.0,1.0,3.5,11.5,5.5,6.5,2.0,2.0,12.0,6.0,5.5,13.0,7.5,12.0,3.5,2.0,1.0,0.0,0.18,0.22,0.64,,,,,,,,,0.18,0.22,0.66,0.49,0.58,,,,,0.55,0.51
Juárez,0.5,3.0,3.5,3.5,7.0,3.5,10.5,11.5,96.5,90.5,59.0,35.5,57.0,43.0,0.0,1.0,7.0,7.0,3.5,4.5,2.5,1.0,5.0,14.5,8.5,5.0,11.0,19.0,2.0,1.5,1.5,1.0,0.47,0.27,0.3,,,,,,,0.54,0.49,0.48,0.28,0.3,0.46,0.62,,,,,0.56,0.5,Mexico Liga MX,2026-2027,3.5,0.5,14.5,1.0,9.0,4.5,25.0,5.0,114.0,62.0,73.0,27.0,70.0,30.0,,,17.0,2.5,8.0,2.5,1.5,1.0,6.0,13.5,11.5,3.5,11.0,10.5,0.0,5.5,1.0,2.0,0.69,0.2,0.15,,,,,,,,,0.7,0.21,0.15,0.47,0.6,,,,,,
León,1.5,1.5,4.5,4.0,6.0,3.0,15.5,9.0,92.5,92.0,41.0,46.5,49.0,51.0,0.0,1.0,8.5,5.5,7.0,3.5,0.5,4.0,4.0,9.0,10.5,6.0,12.0,13.5,2.5,5.5,3.0,4.5,0.39,0.29,0.36,,,,,,,0.52,0.52,0.39,0.3,0.36,0.46,0.61,,,,,0.55,0.51,Mexico Liga MX,2026-2027,1.0,1.0,5.0,6.5,7.5,4.0,17.0,13.5,87.0,95.5,50.0,43.0,50.0,50.0,2.0,0.0,8.5,6.5,8.5,7.0,2.0,1.0,7.5,10.0,9.5,7.5,13.5,13.5,3.5,4.5,1.0,1.5,0.43,0.28,0.33,,,,,,,0.52,0.52,0.44,0.3,0.32,0.45,0.62,,,,,0.54,0.52
Monterrey,4.5,1.5,7.5,2.5,8.5,4.0,23.5,7.5,92.0,86.0,44.0,31.0,59.5,40.5,,,15.5,6.0,8.0,1.5,1.5,1.0,7.0,11.5,17.5,4.5,12.5,8.0,0.5,7.0,,,0.68,0.21,0.16,,,,,,,,,0.68,0.22,0.17,0.43,0.64,,,,,,,Mexico Liga MX,2026-2027,1.0,1.5,5.0,1.5,6.0,4.0,14.0,9.5,87.5,93.5,45.5,31.5,56.0,44.0,0.0,1.0,8.5,5.0,5.5,4.5,2.0,2.0,6.0,10.5,9.5,7.0,17.0,15.5,1.5,4.0,3.5,2.0,0.33,0.27,0.44,,,,,0.55,0.48,0.54,0.49,0.32,0.3,0.43,0.46,0.6,,,,,0.5,0.56
Necaxa,1.67,1.33,7.33,3.0,7.67,4.0,18.33,11.33,102.67,70.0,51.67,28.33,63.33,36.67,0.5,0.5,11.33,6.0,7.0,5.33,1.5,1.5,6.0,13.33,11.33,8.0,15.67,14.67,2.67,5.67,1.67,1.67,0.38,0.27,0.39,,,,,,,0.52,0.52,0.38,0.29,0.39,0.44,0.63,,,,,0.51,0.54,Mexico Liga MX,2026-2027,3.0,1.0,6.0,2.0,12.0,5.0,26.0,9.0,147.0,64.0,83.0,16.0,75.0,25.0,,,15.0,3.0,11.0,6.0,1.0,0.0,6.0,8.0,15.0,6.0,15.0,10.0,1.0,6.0,1.0,4.0,0.66,0.21,0.16,,,,,,,,,0.68,0.21,0.17,0.45,0.62,,,,,,
