team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Akhmat Grozny,1.0,2.0,1.0,5.0,1.0,4.0,4.0,11.0,58.0,109.0,19.0,63.0,27.0,73.0,1.0,0.0,1.0,6.0,3.0,5.0,2.0,2.0,15.0,2.0,4.0,10.0,13.0,15.0,2.0,2.0,1.0,2.0,0.23,0.28,0.52,,,,,,,0.53,0.51,,,,,,,,,,,,Russia Premier League,2026-2027,1.0,0.5,5.0,4.33,7.33,6.33,16.33,13.0,89.33,83.33,51.33,43.0,53.33,46.67,,,8.67,7.0,7.67,6.0,1.67,0.33,8.33,12.33,10.0,9.33,13.33,10.0,3.33,2.33,2.0,1.67,0.52,0.27,0.25,,,,,0.48,0.55,0.54,0.49,,,,,,,,,,,
Akron,0.5,3.5,7.0,4.0,4.0,4.5,10.0,18.0,87.0,62.0,42.5,38.0,58.0,42.0,,,5.5,12.5,4.5,5.5,1.5,1.0,6.0,7.0,8.0,10.5,11.5,8.0,3.0,3.0,2.0,2.0,0.22,0.24,0.57,,,,,0.51,0.52,,,,,,,,,,,,,,Russia Premier League,2026-2027,3.0,3.0,1.5,5.5,4.0,8.5,15.0,16.0,81.0,71.0,43.5,40.0,47.0,53.0,,,9.5,11.0,5.5,5.0,1.0,2.5,10.0,10.0,7.5,12.5,15.0,15.0,3.0,1.5,2.0,1.0,0.55,0.24,0.24,,,,,,,,,,,,,,,,,,,
Baltika Kaliningrad,1.5,1.5,3.5,8.5,3.0,4.0,10.5,11.0,54.5,87.5,30.0,40.0,31.5,68.5,1.0,0.0,8.0,9.0,2.5,2.0,4.5,2.0,4.5,6.0,5.5,6.0,15.5,11.5,2.5,3.0,3.0,1.0,0.31,0.3,0.43,,,,,0.53,0.5,,,,,,,,,,,,,,Russia Premier League,2026-2027,1.0,1.5,4.0,3.5,3.5,7.0,11.5,13.5,102.0,70.0,46.5,37.5,66.0,34.0,,,6.0,9.5,5.5,4.0,1.0,2.5,8.0,8.5,5.0,7.5,10.5,16.5,2.0,2.5,1.0,0.5,0.42,0.3,0.32,,,,,0.51,0.52,,,,,,,,,,,,,
CSKA Moskva,1.33,0.67,4.0,3.25,6.25,5.75,14.5,12.25,102.25,84.25,53.0,47.75,57.5,42.5,1.0,0.0,7.25,7.0,7.25,5.25,1.0,2.5,7.0,11.25,10.33,6.67,12.0,14.25,2.5,3.5,1.25,2.25,0.6,0.25,0.19,,,,,0.52,0.52,0.54,0.5,,,,,,,,,,,,Russia Premier League,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamo Moskva,3.0,1.0,5.0,2.0,7.0,4.5,16.0,10.0,94.0,62.0,49.5,33.0,67.0,33.0,,,8.0,6.5,8.0,3.5,1.0,1.0,8.0,10.5,11.5,7.0,14.0,15.5,2.5,4.0,3.0,3.0,0.66,0.22,0.15,,,,,0.55,0.48,0.52,0.52,,,,,,,,,,,,Russia Premier League,2026-2027,2.5,0.5,1.5,7.5,1.0,5.5,5.5,15.0,61.0,93.0,27.0,57.5,35.5,64.5,1.0,0.0,4.5,8.0,1.0,7.0,3.0,1.0,10.0,3.5,5.0,8.0,15.5,12.5,3.5,1.0,2.0,1.0,0.48,0.28,0.28,,,,,0.53,0.5,0.54,0.49,,,,,,,,,,,
Dynamo Makhachkala,2.0,1.0,1.0,9.0,4.0,8.0,12.0,15.0,69.0,79.0,47.0,59.0,41.0,59.0,,,5.0,13.0,7.0,2.0,1.0,1.0,11.0,8.0,9.0,10.0,9.0,11.0,4.0,3.0,1.0,2.0,0.27,0.3,0.47,,,,,0.54,0.49,,,,,,,,,,,,,,Russia Premier League,2026-2027,1.67,2.33,7.0,3.0,4.67,4.33,14.33,11.0,101.0,65.67,56.0,31.0,63.33,36.67,,,8.0,8.0,6.33,3.0,1.0,0.5,7.0,10.67,9.67,9.0,14.33,11.0,2.67,3.0,2.0,2.33,0.48,0.3,0.25,,,0.51,0.52,0.52,0.52,0.49,0.54,,,,,,,,,,,
Fakel,1.0,2.0,9.0,3.0,5.5,4.5,14.0,10.0,94.0,75.0,49.5,30.0,56.5,43.5,,,7.5,6.0,6.5,4.0,1.0,1.0,4.5,10.0,7.5,6.0,13.5,11.5,2.5,2.5,1.0,1.0,0.36,0.33,0.34,,,0.48,0.55,0.48,0.55,,,,,,,,,,,,,,Russia Premier League,2026-2027,2.0,1.0,4.5,3.5,4.5,6.0,10.0,11.5,83.0,80.0,44.5,47.5,56.0,44.0,0.5,0.5,8.0,7.0,2.0,4.5,2.0,3.0,7.0,9.5,8.0,6.0,12.5,11.0,1.0,2.0,3.5,1.5,0.66,0.24,0.14,,,,,,,0.52,0.52,,,,,,,,,,,
Krasnodar,2.0,1.0,2.5,4.0,5.0,6.0,14.0,11.0,88.0,75.0,49.5,45.0,57.0,43.0,0.0,1.0,9.0,7.0,5.0,4.0,2.0,1.0,7.0,9.5,9.5,7.0,10.0,9.0,1.5,2.5,2.5,2.0,0.68,0.23,0.14,,,,,,,0.51,0.52,,,,,,,,,,,,Russia Premier League,2026-2027,1.0,2.5,4.0,5.5,5.5,7.0,10.5,17.5,75.5,65.0,40.0,49.5,46.0,54.0,,,9.0,9.5,1.5,8.0,1.0,3.5,11.5,7.5,6.5,12.0,15.5,14.0,3.5,2.0,1.0,3.0,0.38,0.29,0.36,,,,,0.48,0.55,,,,,,,,,,,,,
Krylya Sovetov,0.5,3.0,5.5,5.0,5.0,4.5,12.5,13.5,99.5,67.0,51.5,37.0,65.5,34.5,,,9.5,10.5,3.0,3.0,0.0,1.0,7.0,10.0,8.0,11.0,12.0,11.0,3.5,2.5,2.0,1.5,0.38,0.31,0.34,,,0.54,0.5,0.49,0.54,,,,,,,,,,,,,,Russia Premier League,2026-2027,1.0,1.0,4.0,3.5,10.0,4.5,19.5,11.5,92.5,74.0,49.5,41.5,60.5,39.5,,,11.5,7.0,8.0,4.5,0.5,1.5,6.5,11.0,14.5,8.5,15.0,16.0,4.0,5.0,0.0,3.0,0.69,0.2,0.14,,,,,,,0.56,0.5,,,,,,,,,,,
Lokomotiv Moskva,1.0,1.0,2.0,5.5,7.0,8.5,19.5,18.0,84.0,85.0,48.0,43.0,52.5,47.5,,,11.5,10.5,8.0,7.5,2.0,0.5,11.5,10.0,10.0,14.0,17.0,13.0,5.0,2.0,3.5,0.5,0.62,0.24,0.18,,,,,,,0.54,0.49,,,,,,,,,,,,Russia Premier League,2026-2027,1.5,1.0,3.5,5.5,6.0,8.0,20.0,13.5,78.0,78.0,53.5,49.0,46.5,53.5,1.0,0.0,14.5,9.5,5.5,4.0,1.0,1.5,9.0,8.5,10.5,9.5,10.5,14.5,2.5,4.5,1.5,1.5,0.32,0.29,0.43,,,,,0.54,0.49,0.53,0.5,,,,,,,,,,,
