team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Abha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia Liga Profissional,2026,4.0,0.0,2.0,4.0,8.0,5.0,16.0,12.0,94.0,93.0,43.0,33.0,50.0,50.0,1.0,0.0,11.0,10.0,5.0,2.0,2.0,1.0,7.0,11.0,12.0,11.0,18.0,11.0,3.0,3.0,2.0,2.0,0.83,0.13,0.09,,,,,,,,,0.86,0.16,0.09,0.58,0.5,,,,,,
Al Ahli,4.0,0.0,2.0,4.0,8.0,5.0,16.0,12.0,94.0,93.0,43.0,33.0,50.0,50.0,1.0,0.0,11.0,10.0,5.0,2.0,2.0,1.0,7.0,11.0,12.0,11.0,18.0,11.0,3.0,3.0,2.0,2.0,0.83,0.13,0.09,,,,,,,,,0.86,0.16,0.09,0.58,0.5,,,,,,,Saudi Arabia Liga Profissional,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Draih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia Liga Profissional,2026,0.0,1.0,4.0,1.0,1.0,4.0,5.0,11.0,106.0,83.0,65.0,29.0,55.0,45.0,,,2.0,7.0,3.0,4.0,1.0,6.0,9.0,5.0,3.0,7.0,8.0,6.0,4.0,2.0,2.0,1.0,0.26,0.26,0.53,,,,,,,,,0.27,0.3,0.54,0.44,0.64,,,,,,
Al Ettifaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia Liga Profissional,2026,0.0,1.0,6.0,11.0,6.0,8.0,11.0,14.0,62.0,91.0,29.0,69.0,45.0,55.0,,,8.0,9.0,3.0,5.0,4.0,2.0,13.0,8.0,6.0,13.0,12.0,9.0,2.0,4.0,,,0.42,0.28,0.35,,,,,,,,,0.43,0.29,0.39,0.4,0.67,,,,,,
Al Faisaly,0.0,2.0,1.0,3.0,3.0,4.0,7.0,8.0,4.0,6.0,4.0,2.0,58.0,42.0,,,5.0,5.0,2.0,3.0,3.0,2.0,9.0,7.0,6.0,4.0,7.0,15.0,1.0,3.0,2.0,0.0,0.27,0.26,0.53,,,,,,,,,0.31,0.27,0.53,0.5,0.58,,,,,0.56,0.5,Saudi Arabia Liga Profissional,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Fateh,0.0,1.0,6.0,11.0,6.0,8.0,11.0,14.0,62.0,91.0,29.0,69.0,45.0,55.0,,,8.0,9.0,3.0,5.0,4.0,2.0,13.0,8.0,6.0,13.0,12.0,9.0,2.0,4.0,,,0.42,0.28,0.35,,,,,,,,,0.43,0.29,0.39,0.4,0.67,,,,,,,Saudi Arabia Liga Profissional,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Hazm,0.0,1.0,4.0,1.0,1.0,4.0,5.0,11.0,106.0,83.0,65.0,29.0,55.0,45.0,,,2.0,7.0,3.0,4.0,1.0,6.0,9.0,5.0,3.0,7.0,8.0,6.0,4.0,2.0,2.0,1.0,0.26,0.26,0.53,,,,,,,,,0.27,0.3,0.54,0.44,0.64,,,,,,,Saudi Arabia Liga Profissional,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Hilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia Liga Profissional,2026,0.0,3.0,1.0,5.0,2.0,11.0,8.0,25.0,79.0,114.0,23.0,70.0,40.0,60.0,0.0,1.0,3.0,19.0,5.0,6.0,2.0,4.0,14.0,2.0,5.0,16.0,8.0,9.0,7.0,3.0,1.0,0.0,0.09,0.15,0.82,,,,,,,,,0.12,0.19,0.8,0.65,0.42,,,,,,
Al Ittihad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia Liga Profissional,2026,0.0,1.0,15.0,1.0,11.0,1.0,26.0,5.0,122.0,55.0,105.0,12.0,66.0,34.0,,,16.0,0.0,10.0,5.0,6.0,3.0,1.0,15.0,12.0,3.0,11.0,8.0,1.0,8.0,1.0,2.0,0.74,0.17,0.15,,,,,,,,,0.75,0.2,0.16,0.38,0.69,,,,,,
Al Khaleej,,,3.0,6.0,2.0,6.0,8.0,15.0,82.0,95.0,36.0,72.0,46.0,54.0,,,2.0,6.0,6.0,9.0,2.0,0.0,9.0,7.0,5.0,11.0,11.0,11.0,4.0,3.0,1.0,1.0,0.36,0.27,0.42,,,,,,,,,0.39,0.29,0.43,0.44,0.64,,,,,,,Saudi Arabia Liga Profissional,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
