team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletic Club,1.0,1.0,7.0,1.0,13.0,2.0,19.0,3.0,141.0,62.0,71.0,10.0,67.0,33.0,0.0,1.0,13.0,1.0,5.0,2.0,2.0,1.0,5.0,15.0,11.0,2.0,11.0,12.0,0.0,2.0,3.0,3.0,0.7,0.2,0.13,,,,,,,0.54,0.49,0.71,0.21,0.12,0.56,0.51,,,,,0.55,0.5,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,0.0,3.0,9.0,3.0,1.0,6.0,8.0,13.0,115.0,87.0,52.0,37.0,54.0,46.0,0.0,1.0,2.0,9.0,6.0,4.0,1.0,1.0,8.0,11.0,5.0,11.0,13.0,9.0,2.0,3.0,2.0,1.0,0.28,0.28,0.47,,,,,,,,,0.29,0.28,0.49,0.42,0.65,,,,,,
Celta de Vigo,1.0,1.0,1.0,5.0,8.0,7.0,17.0,12.0,100.0,70.0,49.0,24.0,46.0,54.0,,,8.0,6.0,9.0,6.0,6.0,0.0,7.0,9.0,9.0,7.0,10.0,10.0,1.0,4.0,1.0,1.0,0.58,0.27,0.18,,,0.54,0.49,0.54,0.49,0.48,0.54,0.6,0.27,0.18,0.56,0.51,,,,,0.5,0.55,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deportivo A Coruña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,1.0,1.0,3.0,7.0,10.0,5.0,15.0,10.0,100.0,78.0,41.0,33.0,36.0,64.0,,,8.0,9.0,7.0,1.0,2.0,1.0,13.0,15.0,10.0,8.0,14.0,9.0,2.0,3.0,3.0,1.0,0.37,0.35,0.31,,,,,,,,,0.39,0.32,0.33,0.62,0.45,0.51,0.53,,,,
Deportivo Alavés,0.0,1.0,2.0,5.0,8.0,2.0,15.0,10.0,107.0,82.0,60.0,29.0,43.0,57.0,,,11.0,5.0,4.0,5.0,3.0,4.0,9.0,10.0,9.0,6.0,7.0,14.0,2.0,3.0,1.0,4.0,0.58,0.28,0.18,,,,,0.48,0.55,0.48,0.54,0.58,0.29,0.18,0.57,0.5,,,,,0.5,0.55,Spain La Liga,2026-2027,2.0,1.0,4.0,6.0,4.0,3.0,11.0,16.0,97.0,92.0,29.0,58.0,57.0,43.0,,,9.0,10.0,2.0,6.0,1.0,6.0,6.0,8.0,9.0,7.0,16.0,17.0,7.0,2.0,2.0,3.0,0.36,0.29,0.37,,,,,,,,,0.38,0.29,0.39,0.44,0.64,,,,,0.55,0.5
Elche,1.0,2.0,2.0,5.0,6.0,9.0,10.0,14.0,85.0,77.0,44.0,41.0,56.0,44.0,,,6.0,11.0,4.0,3.0,1.0,4.0,11.0,9.0,8.0,11.0,18.0,6.0,2.0,1.0,1.0,2.0,0.07,0.13,0.82,,,,,,,,,0.08,0.13,0.83,0.49,0.59,,,,,,,Spain La Liga,2026-2027,1.0,1.0,7.0,1.0,13.0,2.0,19.0,3.0,141.0,62.0,71.0,10.0,67.0,33.0,0.0,1.0,13.0,1.0,5.0,2.0,2.0,1.0,5.0,15.0,11.0,2.0,11.0,12.0,0.0,2.0,3.0,3.0,0.7,0.2,0.13,,,,,,,0.54,0.49,0.71,0.21,0.12,0.56,0.51,,,,,0.55,0.5
Espanyol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,1.0,1.5,3.0,4.5,7.5,4.0,13.5,12.5,109.0,82.0,49.5,41.5,58.0,42.0,,,7.0,7.5,6.5,5.0,0.0,2.0,6.0,10.5,8.5,8.0,10.0,19.5,2.0,2.0,3.5,2.0,0.44,0.3,0.28,,,,,0.55,0.48,0.49,0.54,0.44,0.31,0.3,0.51,0.56,,,,,0.49,0.56
FC Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,2.0,4.0,3.0,5.0,3.0,3.0,13.0,12.0,59.0,119.0,48.0,40.0,25.0,75.0,0.0,1.0,10.0,10.0,3.0,2.0,4.0,2.0,3.0,3.0,7.0,8.0,11.0,11.0,2.0,4.0,1.0,1.0,0.07,0.12,0.84,,,,,,,,,0.07,0.12,0.88,0.49,0.59,,,,,,
Getafe,1.0,1.0,3.0,7.0,10.0,5.0,15.0,10.0,100.0,78.0,41.0,33.0,36.0,64.0,,,8.0,9.0,7.0,1.0,2.0,1.0,13.0,15.0,10.0,8.0,14.0,9.0,2.0,3.0,3.0,1.0,0.37,0.35,0.31,,,,,,,,,0.39,0.32,0.33,0.62,0.45,0.51,0.53,,,,,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levante,2.0,4.0,3.0,5.0,3.0,3.0,13.0,12.0,59.0,119.0,48.0,40.0,25.0,75.0,0.0,1.0,10.0,10.0,3.0,2.0,4.0,2.0,3.0,3.0,7.0,8.0,11.0,11.0,2.0,4.0,1.0,1.0,0.07,0.12,0.84,,,,,,,,,0.07,0.12,0.88,0.49,0.59,,,,,,,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
