team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga 2,2026-2027,1.0,1.0,4.0,5.0,6.0,1.0,11.0,6.0,91.0,93.0,66.0,55.0,54.0,46.0,0.0,1.0,6.0,3.0,5.0,3.0,0.0,1.0,6.0,9.0,7.0,5.0,17.0,14.0,3.0,2.0,1.0,1.0,0.53,0.28,0.22,,,,,0.55,0.49,0.49,0.54,0.53,0.29,0.25,0.53,0.56,,,,,0.53,0.53
Almería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga 2,2026-2027,0.0,2.0,9.0,0.0,10.0,1.0,20.0,4.0,108.0,45.0,91.0,13.0,59.0,41.0,,,15.0,2.0,5.0,2.0,2.0,1.0,2.0,15.0,9.0,3.0,13.0,17.0,0.0,4.0,4.0,6.0,0.39,0.28,0.36,,,,,,,,,0.38,0.29,0.38,0.42,0.65,,,,,,
Castellón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga 2,2026-2027,1.0,2.0,4.0,11.0,3.0,6.0,8.0,18.0,75.0,134.0,35.0,93.0,39.0,61.0,,,5.0,11.0,3.0,7.0,0.0,1.0,12.0,5.0,5.0,11.0,9.0,10.0,7.0,4.0,5.0,2.0,0.44,0.28,0.31,,,,,,,,,0.45,0.29,0.31,0.44,0.64,,,,,,
Celta Fortuna,0.0,4.0,5.0,1.0,9.0,1.0,24.0,12.0,137.0,83.0,77.0,20.0,67.0,33.0,,,7.0,7.0,17.0,5.0,0.0,1.0,5.0,15.0,17.0,7.0,8.0,13.0,3.0,9.0,3.0,4.0,0.28,0.3,0.46,,,,,0.55,0.48,0.49,0.54,0.29,0.31,0.47,0.5,0.58,,,,,0.5,0.56,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cádiz,0.0,1.0,7.0,9.0,5.0,11.0,7.0,20.0,65.0,99.0,29.0,46.0,54.0,46.0,,,4.0,15.0,3.0,5.0,4.0,1.0,9.0,8.0,5.0,10.0,14.0,14.0,4.0,2.0,4.0,0.0,0.4,0.3,0.33,,,,,0.55,0.48,,,0.42,0.3,0.33,0.53,0.56,,,0.56,0.5,,,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Córdoba,0.0,2.0,9.0,0.0,10.0,1.0,20.0,4.0,108.0,45.0,91.0,13.0,59.0,41.0,,,15.0,2.0,5.0,2.0,2.0,1.0,2.0,15.0,9.0,3.0,13.0,17.0,0.0,4.0,4.0,6.0,0.39,0.28,0.36,,,,,,,,,0.38,0.29,0.38,0.42,0.65,,,,,,,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga 2,2026-2027,0.0,1.0,4.0,4.0,7.0,5.0,12.0,8.0,122.0,92.0,63.0,32.0,56.0,44.0,,,9.0,2.0,3.0,6.0,2.0,2.0,9.0,7.0,9.0,8.0,9.0,14.0,1.0,3.0,2.0,3.0,0.61,0.25,0.17,,,,,0.54,0.49,0.54,0.5,0.62,0.27,0.17,0.56,0.53,,,,,0.53,0.53
FC Andorra,1.0,3.0,7.0,2.0,9.0,6.0,23.0,15.0,114.0,55.0,68.0,24.0,74.0,26.0,,,15.0,9.0,8.0,6.0,0.0,1.0,9.0,15.0,11.0,6.0,11.0,25.0,2.0,6.0,1.0,5.0,0.57,0.26,0.2,,,,,,,,,0.62,0.24,0.21,0.5,0.58,,,,,,,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girona,1.0,2.0,4.0,11.0,3.0,6.0,8.0,18.0,75.0,134.0,35.0,93.0,39.0,61.0,,,5.0,11.0,3.0,7.0,0.0,1.0,12.0,5.0,5.0,11.0,9.0,10.0,7.0,4.0,5.0,2.0,0.44,0.28,0.31,,,,,,,,,0.45,0.29,0.31,0.44,0.64,,,,,,,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granada,1.0,1.0,4.0,5.0,6.0,1.0,11.0,6.0,91.0,93.0,66.0,55.0,54.0,46.0,0.0,1.0,6.0,3.0,5.0,3.0,0.0,1.0,6.0,9.0,7.0,5.0,17.0,14.0,3.0,2.0,1.0,1.0,0.53,0.28,0.22,,,,,0.55,0.49,0.49,0.54,0.53,0.29,0.25,0.53,0.56,,,,,0.53,0.53,Spain La Liga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
