team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albion,1.91,1.55,5.08,5.17,3.75,4.92,9.92,12.17,95.67,99.17,49.42,53.33,54.08,45.92,1.33,0.0,6.0,6.38,5.75,8.12,1.0,1.88,9.12,7.38,,,11.62,10.5,3.5,2.88,3.08,2.42,0.39,0.31,0.35,0.46,0.59,0.54,0.51,0.51,0.53,0.51,0.55,0.41,0.32,0.37,0.59,0.49,0.53,0.53,0.52,0.54,0.5,0.56,Uruguay Primera Division,2026,0.91,1.09,5.75,3.92,5.0,4.42,12.08,10.5,88.67,85.17,60.08,43.83,48.83,51.17,0.67,0.67,5.33,5.56,7.0,6.44,1.67,1.89,9.44,9.44,,,13.56,10.44,3.22,3.44,2.73,2.55,0.41,0.32,0.32,0.47,0.59,0.53,0.51,0.51,0.54,0.5,0.55,0.43,0.33,0.34,0.58,0.5,0.53,0.53,0.52,0.54,0.51,0.55
Atlético Progreso,0.83,1.67,4.33,4.08,4.0,5.0,8.58,11.25,97.25,101.42,54.67,60.33,47.25,52.75,0.67,0.5,5.12,6.62,4.0,5.5,1.88,1.25,9.12,7.25,,,14.75,10.25,3.5,2.12,3.08,2.25,0.3,0.3,0.44,0.49,0.56,0.55,0.5,0.52,0.53,0.51,0.55,0.32,0.31,0.46,0.58,0.5,0.53,0.52,0.53,0.53,0.52,0.52,Uruguay Primera Division,2026,1.42,0.67,4.83,4.0,4.75,3.5,11.83,8.42,103.0,96.75,61.58,54.0,52.83,47.17,2.0,0.0,7.22,4.11,6.22,4.44,1.12,2.62,9.22,11.33,,,13.22,13.11,2.78,4.22,2.75,2.67,0.49,0.31,0.25,0.49,0.56,0.53,0.52,0.5,0.55,0.51,0.54,0.52,0.3,0.28,0.58,0.5,0.52,0.54,0.51,0.55,0.54,0.51
Boston River,1.33,1.11,3.83,4.92,3.83,5.75,11.42,15.08,85.0,89.42,46.0,54.33,53.08,46.92,1.0,0.0,6.5,7.92,4.92,7.17,1.75,1.75,10.42,7.5,,,11.17,11.83,4.5,4.0,2.5,2.83,0.34,0.31,0.39,0.47,0.58,0.54,0.5,0.51,0.54,0.49,0.55,0.36,0.33,0.42,0.58,0.5,0.55,0.51,0.52,0.54,0.5,0.56,Uruguay Primera Division,2026,1.75,0.75,5.0,2.83,6.17,4.58,13.58,9.25,108.67,103.67,66.42,54.42,50.83,49.17,,,6.9,5.4,7.4,4.3,2.22,1.89,7.8,11.4,,,11.8,11.1,2.6,3.3,2.17,3.08,0.5,0.3,0.25,0.49,0.57,0.54,0.5,0.53,0.53,0.52,0.53,0.51,0.31,0.28,0.58,0.5,0.54,0.52,0.54,0.52,0.52,0.54
Central Español,1.45,1.09,3.83,4.33,3.92,5.67,9.75,13.67,87.75,104.25,49.83,63.58,41.92,58.08,0.5,0.83,5.5,5.9,4.6,8.5,1.67,1.56,12.3,6.9,,,10.1,12.0,3.4,2.9,3.42,3.25,0.33,0.32,0.41,0.46,0.59,0.54,0.51,0.5,0.55,0.51,0.53,0.35,0.32,0.42,0.59,0.49,0.54,0.52,0.5,0.56,0.53,0.53,Uruguay Primera Division,2026,1.6,1.3,5.83,3.17,5.67,4.25,16.42,9.83,112.75,88.42,68.83,48.5,61.83,38.17,0.5,0.5,8.55,4.36,8.36,5.73,1.9,1.5,7.45,12.0,,,11.91,10.73,2.91,4.45,2.83,2.0,0.5,0.29,0.26,0.47,0.58,0.53,0.52,0.51,0.54,0.52,0.54,0.53,0.3,0.27,0.6,0.48,0.53,0.53,0.51,0.55,0.52,0.54
Cerro,0.75,0.67,2.83,5.5,4.33,4.67,10.58,11.17,86.25,100.25,49.83,56.17,40.08,59.92,0.0,1.0,5.17,6.0,5.42,5.17,0.83,1.75,8.75,8.92,,,15.25,13.17,2.5,3.25,3.36,2.55,0.28,0.32,0.45,0.45,0.6,0.52,0.52,0.48,0.56,0.5,0.56,0.3,0.33,0.47,0.62,0.46,0.53,0.53,0.5,0.56,0.5,0.56,Uruguay Primera Division,2026,2.25,0.67,5.83,2.83,5.83,5.25,15.33,11.08,97.0,90.58,59.92,45.92,57.17,42.83,1.5,0.25,7.91,5.09,7.82,6.55,1.3,1.4,8.55,9.18,,,14.36,15.18,2.27,2.82,2.42,3.67,0.54,0.3,0.21,0.41,0.64,0.53,0.52,0.5,0.55,0.54,0.5,0.57,0.31,0.24,0.62,0.45,0.52,0.54,0.52,0.53,0.56,0.5
Cerro Largo,1.45,1.0,2.91,4.27,5.09,6.09,10.55,12.36,102.82,105.91,55.73,61.18,50.18,49.82,0.67,0.33,6.0,6.56,5.22,6.11,1.88,0.88,8.44,8.67,,,13.0,10.56,2.56,2.0,2.55,2.64,0.35,0.33,0.38,0.51,0.54,0.55,0.5,0.49,0.55,,,0.37,0.33,0.4,0.58,0.5,0.53,0.53,0.52,0.54,,,Uruguay Primera Division,2026,1.25,0.75,5.38,3.85,5.85,3.92,13.0,9.77,105.15,104.46,61.77,54.31,50.85,49.15,1.33,0.33,6.8,4.5,6.8,5.9,2.0,1.2,7.6,9.2,,,10.9,13.8,2.8,3.5,2.23,3.23,0.48,0.31,0.26,0.47,0.58,0.54,0.51,0.5,0.55,0.5,0.55,0.5,0.31,0.28,0.59,0.49,0.53,0.53,0.54,0.52,0.51,0.55
Danubio,1.33,1.11,5.82,3.82,3.73,3.91,11.82,9.18,105.0,99.55,62.0,56.82,51.27,48.73,0.0,1.0,7.0,3.75,6.25,5.75,1.62,1.88,8.38,8.62,,,11.75,12.75,2.12,4.12,2.36,2.82,0.4,0.33,0.33,0.5,0.55,0.54,0.5,0.5,0.55,,,0.43,0.33,0.35,0.59,0.49,0.54,0.52,0.51,0.55,,,Uruguay Primera Division,2026,1.91,0.91,4.77,3.08,4.92,4.69,11.46,8.77,86.38,86.85,54.62,47.0,48.31,51.69,0.75,0.5,6.78,3.33,5.22,5.11,2.11,2.11,7.67,8.56,,,13.44,11.0,1.56,3.22,2.83,1.92,0.44,0.31,0.3,0.45,0.6,0.54,0.51,0.5,0.54,0.49,0.56,0.45,0.32,0.32,0.59,0.5,0.54,0.51,0.54,0.52,0.5,0.56
Defensor Sporting,1.0,1.25,5.46,4.38,6.85,6.15,14.62,13.0,105.62,100.08,67.31,58.08,55.0,45.0,0.0,1.5,7.64,6.36,8.36,6.0,2.09,1.91,8.45,11.18,,,10.27,13.36,3.55,3.45,2.85,3.46,0.44,0.31,0.3,0.49,0.57,0.55,0.5,0.51,0.54,,,0.47,0.32,0.32,0.58,0.5,0.54,0.52,0.53,0.53,0.5,0.56,Uruguay Primera Division,2026,1.11,0.78,5.18,4.55,4.55,4.91,11.73,10.91,101.18,100.36,67.45,55.55,47.45,52.55,0.0,1.0,6.3,5.3,5.9,6.2,1.2,1.9,8.3,8.7,,,14.1,11.1,2.0,3.9,2.82,2.55,0.41,0.32,0.32,0.51,0.55,0.54,0.5,0.5,0.55,,,0.43,0.33,0.35,0.58,0.5,0.54,0.52,0.52,0.53,,
Deportivo Maldonado,2.0,0.91,4.17,4.08,5.5,5.75,12.5,9.83,92.33,88.08,53.08,50.42,52.5,47.5,1.0,0.5,5.88,5.12,6.38,4.38,2.33,0.83,10.0,9.62,,,12.62,13.25,2.25,2.75,2.42,3.0,0.47,0.3,0.27,0.5,0.55,0.54,0.51,0.53,0.52,0.49,0.55,0.5,0.31,0.3,0.56,0.53,0.5,0.56,0.52,0.54,0.52,0.54,Uruguay Primera Division,2026,1.27,1.64,4.58,5.5,4.5,4.5,10.5,11.42,100.67,103.92,54.25,57.58,47.42,52.58,0.75,0.5,6.44,6.56,5.0,5.89,2.0,2.62,7.44,8.67,,,11.0,13.89,3.0,3.0,3.08,3.5,0.37,0.31,0.37,0.49,0.56,0.55,0.5,0.52,0.53,0.5,0.56,0.39,0.32,0.4,0.57,0.51,0.53,0.52,0.52,0.54,0.54,0.52
Juventud,1.08,1.42,4.67,4.08,3.83,3.17,10.92,9.42,100.25,90.33,61.92,57.75,55.0,45.0,1.0,0.0,6.12,5.5,7.62,5.0,2.25,3.0,9.25,11.12,,,13.25,12.25,3.5,4.75,3.0,3.42,0.38,0.3,0.36,0.47,0.59,0.53,0.52,0.52,0.52,0.51,0.54,0.41,0.31,0.38,0.57,0.52,0.51,0.54,0.53,0.53,0.52,0.54,Uruguay Primera Division,2026,1.64,1.18,5.08,4.42,4.83,3.67,13.25,10.0,99.92,101.42,60.17,52.83,49.33,50.67,0.0,1.0,7.88,6.5,7.25,5.62,2.25,1.0,9.0,11.0,,,11.88,14.0,3.12,4.62,3.42,3.42,0.5,0.29,0.27,0.46,0.59,0.55,0.5,0.52,0.52,0.51,0.54,0.52,0.3,0.28,0.59,0.5,0.52,0.53,0.53,0.53,0.52,0.54
