team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Crystal Palace,1.0,4.0,2.0,5.0,7.0,7.0,9.0,18.0,63.0,134.0,23.0,60.0,30.0,70.0,,,6.0,12.0,3.0,6.0,2.0,0.0,4.0,6.0,6.0,12.0,7.0,10.0,4.0,1.0,1.0,2.0,0.18,0.24,0.6,,,,,,,,,0.2,0.24,0.62,0.48,0.6,,,,,,,England Premier League,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England Premier League,2026-2027,1.0,4.0,2.0,5.0,7.0,7.0,9.0,18.0,63.0,134.0,23.0,60.0,30.0,70.0,,,6.0,12.0,3.0,6.0,2.0,0.0,4.0,6.0,6.0,12.0,7.0,10.0,4.0,1.0,1.0,2.0,0.18,0.24,0.6,,,,,,,,,0.2,0.24,0.62,0.48,0.6,,,,,,
LOSC Lille,2.0,0.0,0.0,4.0,4.0,12.0,9.0,15.0,47.0,129.0,25.0,71.0,29.0,71.0,,,5.0,5.0,4.0,10.0,4.0,0.0,12.0,8.0,6.0,13.0,10.0,6.0,2.0,2.0,1.0,1.0,0.2,0.25,0.57,,,,,,,,,0.22,0.26,0.58,0.51,0.56,,,,,,,France Ligue 1,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Saint Germain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France Ligue 1,2026-2027,2.0,0.0,0.0,4.0,4.0,12.0,9.0,15.0,47.0,129.0,25.0,71.0,29.0,71.0,,,5.0,5.0,4.0,10.0,4.0,0.0,12.0,8.0,6.0,13.0,10.0,6.0,2.0,2.0,1.0,1.0,0.2,0.25,0.57,,,,,,,,,0.22,0.26,0.58,0.51,0.56,,,,,,
Eintracht Braunschweig,3.0,5.0,5.0,12.0,7.0,10.0,17.0,26.0,77.0,98.0,45.0,64.0,46.0,54.0,0.0,1.0,10.0,19.0,7.0,7.0,0.0,3.0,12.0,10.0,15.0,18.0,9.0,15.0,1.0,5.0,2.0,4.0,0.35,0.27,0.41,,,,,,,,,0.36,0.29,0.42,0.4,0.67,,,,,,,Germany Bundesliga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertha BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga 2,2026-2027,3.0,5.0,5.0,12.0,7.0,10.0,17.0,26.0,77.0,98.0,45.0,64.0,46.0,54.0,0.0,1.0,10.0,19.0,7.0,7.0,0.0,3.0,12.0,10.0,15.0,18.0,9.0,15.0,1.0,5.0,2.0,4.0,0.35,0.27,0.41,,,,,,,,,0.36,0.29,0.42,0.4,0.67,,,,,,
Osnabrück,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga 2,2026-2027,0.0,1.0,6.0,1.0,9.0,3.0,20.0,8.0,192.0,85.0,44.0,31.0,66.0,34.0,,,12.0,4.0,8.0,4.0,0.0,3.0,5.0,12.0,11.0,5.0,15.0,12.0,1.0,1.0,3.0,4.0,0.53,0.26,0.25,,,,,,,,,0.53,0.28,0.26,0.45,0.62,,,,,,
VfL Bochum 1848,0.0,1.0,6.0,1.0,9.0,3.0,20.0,8.0,192.0,85.0,44.0,31.0,66.0,34.0,,,12.0,4.0,8.0,4.0,0.0,3.0,5.0,12.0,11.0,5.0,15.0,12.0,1.0,1.0,3.0,4.0,0.53,0.26,0.25,,,,,,,,,0.53,0.28,0.26,0.45,0.62,,,,,,,Germany Bundesliga 2,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Bayern München,5.0,1.0,9.0,3.0,6.0,3.0,21.0,11.0,99.0,105.0,63.0,35.0,59.0,41.0,,,14.0,7.0,7.0,4.0,3.0,1.0,4.0,7.0,16.0,6.0,10.0,17.0,3.0,5.0,1.0,3.0,0.81,0.13,0.09,,,,,,,,,0.82,0.13,0.1,0.36,0.71,,,,,,,Germany Bundesliga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VfB Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany Bundesliga,2026-2027,5.0,1.0,9.0,3.0,6.0,3.0,21.0,11.0,99.0,105.0,63.0,35.0,59.0,41.0,,,14.0,7.0,7.0,4.0,3.0,1.0,4.0,7.0,16.0,6.0,10.0,17.0,3.0,5.0,1.0,3.0,0.81,0.13,0.09,,,,,,,,,0.82,0.13,0.1,0.36,0.71,,,,,,
Rio Ave,0.0,4.0,2.0,3.0,3.0,2.0,4.0,8.0,59.0,62.0,26.0,21.0,40.0,60.0,,,1.0,7.0,2.0,1.0,1.0,0.0,2.0,5.0,3.0,7.0,6.0,12.0,1.0,0.0,1.0,1.0,0.12,0.19,0.73,,,,,,,,,0.12,0.18,0.75,0.57,0.5,,,,,,,Liga Portugal,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporting CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liga Portugal,2026-2027,0.0,4.0,2.0,3.0,3.0,2.0,4.0,8.0,59.0,62.0,26.0,21.0,40.0,60.0,,,1.0,7.0,2.0,1.0,1.0,0.0,2.0,5.0,3.0,7.0,6.0,12.0,1.0,0.0,1.0,1.0,0.12,0.19,0.73,,,,,,,,,0.12,0.18,0.75,0.57,0.5,,,,,,
Tondela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal LigaPro,2026-2027,2.0,0.0,1.0,5.0,3.0,13.0,6.0,15.0,92.0,119.0,36.0,68.0,50.0,50.0,,,,,,,,,,,,,,,,,1.0,2.0,0.46,0.3,0.29,,,,,0.56,0.49,0.49,0.55,0.48,0.32,0.32,0.53,0.56,,,,,0.5,0.56
União de Leiria,2.0,0.0,1.0,5.0,3.0,13.0,6.0,15.0,92.0,119.0,36.0,68.0,50.0,50.0,,,,,,,,,,,,,,,,,1.0,2.0,0.46,0.3,0.29,,,,,0.56,0.49,0.49,0.55,0.48,0.32,0.32,0.53,0.56,,,,,0.5,0.56,Portugal LigaPro,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,2.0,0.0,12.0,5.0,7.0,5.0,22.0,5.0,130.0,65.0,62.0,39.0,70.0,30.0,,,18.0,3.0,4.0,2.0,8.0,5.0,6.0,8.0,16.0,4.0,13.0,6.0,0.0,8.0,1.0,2.0,0.81,0.14,0.07,,,,,,,,,0.83,0.14,0.08,0.5,0.57,,,,,,
Celta de Vigo,1.0,2.0,5.0,3.0,1.0,5.0,4.0,13.0,90.0,113.0,43.0,51.0,52.0,48.0,0.0,1.0,1.0,8.0,3.0,5.0,3.0,4.0,5.0,1.0,3.0,9.0,7.0,16.0,2.0,1.0,1.0,1.0,0.53,0.3,0.2,,,0.56,0.47,0.48,0.54,,,0.54,0.3,0.22,0.57,0.5,,,0.53,0.51,,,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deportivo Alavés,1.0,0.0,3.0,4.0,2.0,2.0,4.0,9.0,50.0,82.0,22.0,55.0,29.0,71.0,,,2.0,7.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,9.0,5.0,3.0,1.0,1.0,1.0,0.32,0.28,0.42,,,,,,,0.54,0.49,0.32,0.29,0.44,0.48,0.6,,,,,0.55,0.5,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,3.0,2.0,5.0,10.0,4.0,5.0,13.0,18.0,65.0,117.0,34.0,81.0,40.0,60.0,,,9.0,9.0,4.0,9.0,3.0,1.0,7.0,4.0,9.0,9.0,17.0,19.0,5.0,3.0,2.0,1.0,0.48,0.28,0.26,,,,,,,0.54,0.49,0.51,0.28,0.26,0.44,0.64,,,,,0.55,0.5
FC Barcelona,2.0,0.0,12.0,5.0,7.0,5.0,22.0,5.0,130.0,65.0,62.0,39.0,70.0,30.0,,,18.0,3.0,4.0,2.0,8.0,5.0,6.0,8.0,16.0,4.0,13.0,6.0,0.0,8.0,1.0,2.0,0.81,0.14,0.07,,,,,,,,,0.83,0.14,0.08,0.5,0.57,,,,,,,Spain La Liga,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osasuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain La Liga,2026-2027,1.0,2.0,5.0,3.0,1.0,5.0,4.0,13.0,90.0,113.0,43.0,51.0,52.0,48.0,0.0,1.0,1.0,8.0,3.0,5.0,3.0,4.0,5.0,1.0,3.0,9.0,7.0,16.0,2.0,1.0,1.0,1.0,0.53,0.3,0.2,,,0.56,0.47,0.48,0.54,,,0.54,0.3,0.22,0.57,0.5,,,0.53,0.51,,
